,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.7,0.7,0.93,0.0,0.88,0.95,0.56,0.51,0.55,0.71,0.68,0.6
aubit4gl.csv,0.86,0.83,0.91,0.75,0.44,0.9,0.75,0.75,0.66,0.86,0.92,0.95
liferea.csv,0.46,0.44,0.48,0.44,0.8,0.61,0.64,0.56,0.83,0.6,0.68,0.48
moving-pictures.csv,0.44,0.4,0.4,0.73,0.36,0.63,0.43,0.95,0.92,0.63,0.53,0.38
olex2.csv,0.56,0.5,0.42,0.44,0.39,0.51,0.46,0.4,0.52,0.53,0.63,0.44
opensim4opencog.csv,0.45,0.53,0.43,0.39,0.35,0.47,0.41,0.38,0.57,0.54,0.53,0.38
plearn.csv,0.53,0.59,0.64,0.77,0.93,0.97,0.46,0.88,0.48,0.91,0.82,0.54
psrchive.csv,0.53,0.9,0.57,0.38,0.38,0.65,0.52,0.5,0.58,0.75,0.63,0.57
re2c.csv,0.77,0.86,0.54,0.58,0.85,0.73,0.46,0.74,0.58,0.88,0.71,0.55
rebecca-aiml.csv,0.5,0.41,0.37,0.28,0.33,0.44,0.32,0.38,0.6,0.47,0.41,0.36
wxcode.csv,0.54,0.6,0.68,0.69,0.36,0.47,0.56,0.55,0.82,0.5,0.7,0.78
xfce.csv,0.46,0.35,0.41,0.42,0.35,0.42,0.32,0.39,0.46,0.46,0.47,0.39
