,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.79,0.17,0.76,0.52
columba.csv,0.29,0.46,0.29,0.23
decidr.csv,0.36,0.83,0.22,0.6
jajuk.csv,0.2,0.6,0.88,0.95
