,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.4,0.56,0.27,0.49,0.48,0.37,0.53,0.31,0.57,0.37,0.55,0.52,0.54
autowikibrowser.csv,0.32,0.64,0.6,0.55,0.57,0.21,0.47,0.36,0.57,0.37,0.7,0.55,0.72
cities3d.csv,0.0,0.25,0.08,0.38,0.13,0.22,0.0,0.12,0.0,0.37,0.17,0.41,0.0
firebird.csv,0.29,0.59,0.65,0.57,0.6,0.23,0.38,0.36,0.53,0.37,0.64,0.45,0.64
hydrogen.csv,0.0,0.32,0.0,0.0,0.17,0.34,0.4,0.15,0.08,0.0,0.0,0.0,0.37
lphant.csv,0.33,0.65,0.56,0.5,0.64,0.23,0.41,0.32,0.68,0.37,0.72,0.52,0.68
open-ms.csv,0.27,0.06,0.33,0.24,0.15,0.41,0.53,0.36,0.48,0.25,0.28,0.56,0.22
qgo.csv,0.24,0.89,0.66,0.58,0.63,0.16,0.32,0.29,0.58,0.36,0.65,0.42,0.8
quickfast.csv,0.22,0.7,0.66,0.54,0.51,0.17,0.33,0.27,0.58,0.34,0.61,0.38,0.85
rhex.csv,0.13,0.44,0.03,0.39,0.06,0.21,0.17,0.25,0.0,0.09,0.12,0.0,0.23
rocrail.csv,0.3,0.65,0.47,0.53,0.68,0.24,0.49,0.32,0.67,0.35,0.6,0.7,0.56
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
yield.csv,0.2,0.69,0.7,0.53,0.77,0.16,0.23,0.32,0.62,0.35,0.63,0.38,0.78
