,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.38,0.45,0.19,0.45,0.37,0.56,0.55,0.52,0.58,0.4,0.5,0.55,0.45
autowikibrowser.csv,0.54,0.63,0.59,0.64,0.51,0.65,0.6,0.6,0.58,0.51,0.69,0.81,0.68
cities3d.csv,0.0,0.23,0.05,0.36,0.1,0.17,0.0,0.12,0.0,0.46,0.11,0.46,0.0
firebird.csv,0.46,0.62,0.63,0.68,0.51,0.71,0.64,0.49,0.53,0.51,0.69,0.67,0.59
hydrogen.csv,0.0,0.24,0.0,0.0,0.12,0.43,0.36,0.23,0.06,0.0,0.0,0.0,0.27
lphant.csv,0.75,0.68,0.54,0.57,0.65,0.66,0.74,0.44,0.67,0.63,0.75,0.82,0.63
open-ms.csv,0.2,0.04,0.26,0.18,0.1,0.51,0.55,0.45,0.41,0.19,0.21,0.55,0.16
qgo.csv,0.21,0.92,0.3,0.69,0.65,0.3,0.71,0.38,0.13,0.48,0.47,0.61,0.68
quickfast.csv,0.27,0.75,0.32,0.65,0.51,0.48,0.73,0.52,0.13,0.21,0.27,0.61,0.84
rhex.csv,0.1,0.43,0.02,0.45,0.04,0.19,0.15,0.24,0.0,0.07,0.09,0.0,0.18
rocrail.csv,0.46,0.61,0.41,0.64,0.65,0.67,0.66,0.44,0.67,0.48,0.56,0.76,0.51
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0
yield.csv,0.45,0.74,0.61,0.47,0.73,0.0,0.13,0.09,0.6,0.33,0.66,0.44,0.71
