,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.67,0.6,0.84,0.61,0.68,0.5,0.5,0.64,0.52,0.67,0.57,0.51,0.61
autowikibrowser.csv,0.56,0.46,0.57,0.54,0.56,0.55,0.46,0.56,0.52,0.6,0.39,0.38,0.42
cities3d.csv,1.0,0.87,0.96,0.71,0.93,0.86,1.0,0.91,1.0,0.62,0.91,0.61,1.0
firebird.csv,0.62,0.56,0.5,0.53,0.54,0.52,0.46,0.84,0.79,0.59,0.57,0.48,0.68
hydrogen.csv,1.0,0.8,1.0,1.0,0.9,0.63,0.69,0.86,0.96,1.0,1.0,1.0,0.77
lphant.csv,0.5,0.5,0.59,0.57,0.53,0.51,0.39,0.65,0.39,0.63,0.39,0.48,0.46
open-ms.csv,0.83,0.97,0.79,0.85,0.92,0.55,0.5,0.63,0.64,0.84,0.82,0.51,0.87
qgo.csv,0.95,0.16,0.93,0.53,0.59,0.93,0.55,0.91,0.97,0.84,0.85,0.76,0.69
quickfast.csv,0.93,0.49,0.92,0.6,0.76,0.83,0.61,0.76,0.97,0.95,0.93,0.72,0.31
rhex.csv,0.92,0.69,0.98,0.71,0.97,0.84,0.88,0.81,1.0,0.94,0.93,1.0,0.89
rocrail.csv,0.62,0.46,0.67,0.63,0.42,0.49,0.4,0.65,0.41,0.62,0.51,0.29,0.63
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
yield.csv,0.86,0.56,0.74,0.85,0.32,1.0,0.97,0.98,0.76,0.91,0.66,0.86,0.63
