,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.33,0.4,0.16,0.4,0.32,0.51,0.5,0.5,0.55,0.35,0.45,0.5,0.4
autowikibrowser.csv,0.5,0.6,0.59,0.66,0.46,0.68,0.56,0.6,0.55,0.47,0.66,0.86,0.66
cities3d.csv,0.0,0.2,0.04,0.32,0.08,0.14,0.0,0.1,0.0,0.42,0.09,0.41,0.0
firebird.csv,0.42,0.63,0.62,0.72,0.46,0.78,0.62,1.0,0.77,0.48,0.77,0.68,0.66
hydrogen.csv,0.0,0.2,0.0,0.0,0.1,0.38,0.31,0.2,0.05,0.0,0.0,0.0,0.23
lphant.csv,0.83,0.7,0.51,0.55,0.68,0.68,0.75,0.4,0.64,0.72,0.77,0.95,0.6
open-ms.csv,0.17,0.03,0.22,0.15,0.08,0.46,0.5,0.4,0.36,0.16,0.18,0.5,0.13
qgo.csv,1.0,0.93,0.92,0.74,0.71,0.95,0.81,0.8,1.0,0.94,0.98,1.0,0.98
quickfast.csv,0.92,0.83,0.9,0.72,0.57,0.89,0.94,0.6,1.0,0.97,0.93,0.82,0.87
rhex.csv,0.08,0.4,0.02,0.42,0.03,0.16,0.12,0.2,0.0,0.06,0.07,0.0,0.15
rocrail.csv,0.42,0.57,0.37,0.72,0.62,0.68,0.62,0.4,0.64,0.44,0.52,0.73,0.49
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
yield.csv,0.75,0.87,0.89,0.92,0.7,1.0,0.94,1.0,0.95,0.97,0.82,0.95,0.91
