,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.23,0.14,0.29,0.15,0.11,0.14,0.08,0.17,0.15,0.14,0.16,0.14,0.15
autowikibrowser.csv,0.13,0.15,0.17,0.19,0.14,0.19,0.09,0.15,0.16,0.16,0.16,0.15,0.16
cities3d.csv,0.38,0.23,0.37,0.19,0.31,0.33,0.48,0.21,0.35,0.17,0.34,0.17,0.38
firebird.csv,0.16,0.25,0.21,0.25,0.15,0.21,0.17,0.32,0.27,0.22,0.24,0.19,0.29
hydrogen.csv,0.39,0.23,0.39,0.42,0.34,0.27,0.17,0.15,0.33,0.39,0.38,0.42,0.14
lphant.csv,0.22,0.18,0.16,0.18,0.23,0.22,0.17,0.13,0.16,0.24,0.2,0.19,0.16
open-ms.csv,0.35,0.35,0.14,0.31,0.35,0.26,0.08,0.15,0.13,0.31,0.15,0.12,0.28
qgo.csv,0.38,0.22,0.34,0.22,0.26,0.29,0.24,0.3,0.35,0.33,0.31,0.29,0.28
quickfast.csv,0.38,0.28,0.35,0.27,0.31,0.32,0.31,0.3,0.35,0.38,0.36,0.35,0.2
rhex.csv,0.35,0.17,0.39,0.27,0.42,0.32,0.41,0.25,0.35,0.36,0.36,0.41,0.18
rocrail.csv,0.13,0.15,0.15,0.28,0.19,0.21,0.11,0.15,0.18,0.17,0.18,0.13,0.22
xined.csv,0.4,0.37,0.39,0.42,0.44,0.34,0.51,0.38,0.35,0.39,0.38,0.42,0.38
yield.csv,0.34,0.25,0.3,0.38,0.2,0.34,0.5,0.38,0.27,0.37,0.24,0.33,0.33
