,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,open-ms.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.5,0.92,0.85,0.63,0.95,0.29,0.57,0.23,0.6,0.39,0.69,0.55,0.83
autowikibrowser.csv,0.23,0.69,0.62,0.47,0.76,0.12,0.41,0.26,0.6,0.3,0.74,0.4,0.79
cities3d.csv,0.0,0.33,0.78,0.46,0.38,0.56,0.0,0.17,0.0,0.33,1.0,0.41,0.0
firebird.csv,0.22,0.56,0.68,0.47,0.88,0.13,0.28,0.22,0.4,0.3,0.55,0.34,0.62
hydrogen.csv,0.0,0.86,0.0,0.0,1.0,0.3,0.56,0.12,0.5,0.0,0.0,0.0,0.85
lphant.csv,0.21,0.6,0.63,0.47,0.6,0.14,0.29,0.27,0.74,0.25,0.67,0.36,0.8
open-ms.csv,0.67,1.0,0.67,0.66,1.0,0.38,0.57,0.33,0.73,0.58,0.62,0.65,0.75
qgo.csv,0.13,0.85,0.52,0.47,0.56,0.09,0.2,0.17,0.41,0.22,0.48,0.27,0.68
quickfast.csv,0.13,0.61,0.52,0.43,0.46,0.09,0.2,0.18,0.41,0.21,0.45,0.24,0.82
rhex.csv,0.33,0.5,0.75,0.36,0.5,0.3,0.29,0.33,0.0,0.28,0.43,0.0,0.47
rocrail.csv,0.24,0.77,0.65,0.42,0.76,0.15,0.4,0.27,0.7,0.29,0.7,0.67,0.66
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
yield.csv,0.12,0.58,0.57,0.38,0.85,0.09,0.13,0.19,0.46,0.21,0.51,0.23,0.68
