,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.83,0.72,0.48,0.6,0.08,0.08,0.26,0.16,0.62,0.17,0.85,0.8
baadengine.csv,0.93,0.64,0.33,0.67,0.04,0.05,0.18,0.3,0.39,0.37,0.92,0.65
chaosrts.csv,0.88,0.61,0.56,0.68,0.04,0.1,0.24,0.2,0.53,0.37,0.98,0.68
chaperon.csv,0.78,0.66,0.32,0.68,0.0,0.44,0.18,0.17,0.33,0.22,0.81,0.68
empyrean.csv,0.0,0.84,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.73,0.73,0.4,0.64,0.02,0.15,0.19,0.33,0.4,0.33,0.84,0.81
jaxlib.csv,0.85,0.63,0.0,0.56,0.4,0.05,0.22,0.15,0.48,0.27,0.91,0.7
joustsim.csv,0.66,0.66,0.32,0.66,0.08,0.12,0.18,0.56,0.38,0.25,0.89,0.61
loki-lib.csv,0.96,0.71,0.4,0.77,0.04,0.06,0.14,0.15,0.59,0.25,0.94,0.67
owlapi.csv,0.76,0.64,0.0,0.64,0.0,0.0,0.39,0.38,0.19,0.28,0.85,0.67
pamguard.csv,0.79,0.71,0.35,0.73,0.0,0.08,0.15,0.11,0.43,0.17,0.89,0.7
poormans.csv,0.69,1.0,0.41,0.63,0.04,0.0,0.22,0.21,0.0,0.51,0.88,0.7
