,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.75,0.6,0.47,0.83,0.55,0.79,0.67,0.95,0.67,0.87,0.82,0.56
baadengine.csv,0.32,0.97,0.87,0.85,0.96,0.84,0.78,0.43,1.0,0.45,0.55,0.95
chaosrts.csv,0.64,0.76,0.61,0.67,0.72,0.64,0.68,0.69,0.54,0.62,0.26,0.79
chaperon.csv,0.66,0.77,0.71,0.67,1.17,0.1,0.66,0.83,0.83,0.69,0.89,0.68
empyrean.csv,1.0,0.37,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0
hydrate.csv,0.8,0.85,0.59,0.91,0.97,0.55,0.64,0.5,0.93,0.51,0.82,0.42
jaxlib.csv,0.73,0.76,1.0,0.87,0.06,0.88,0.81,0.85,0.67,0.81,0.6,0.8
joustsim.csv,0.85,0.76,0.96,0.68,0.46,0.59,0.79,0.16,0.98,0.7,0.84,0.81
loki-lib.csv,0.65,0.6,0.64,0.73,0.69,0.81,0.76,0.92,0.45,0.65,0.43,0.67
owlapi.csv,0.72,0.72,1.02,0.76,1.08,1.06,0.31,0.56,0.94,0.56,0.8,0.71
pamguard.csv,0.66,0.62,0.66,0.55,1.18,0.79,0.83,1.02,0.64,0.95,0.9,0.61
poormans.csv,0.81,0.97,0.66,0.76,0.92,1.0,0.6,0.68,1.0,0.32,0.71,0.62
