,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.41,0.61,0.57,0.3,0.14,0.14,0.3,0.28,0.44,0.27,0.61,0.6
baadengine.csv,0.82,0.77,0.49,0.78,0.08,0.09,0.3,0.46,0.56,0.53,0.81,0.79
chaosrts.csv,0.53,0.48,0.47,0.54,0.07,0.16,0.29,0.26,0.54,0.39,0.86,0.8
chaperon.csv,0.58,0.39,0.39,0.69,0.0,0.62,0.27,0.17,0.4,0.32,0.25,0.5
empyrean.csv,0.0,0.77,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.37,0.26,0.53,0.76,0.05,0.24,0.28,0.41,0.12,0.49,0.44,0.73
jaxlib.csv,0.43,0.42,0.0,0.24,0.57,0.1,0.21,0.26,0.42,0.23,0.87,0.33
joustsim.csv,0.42,0.72,0.48,0.58,0.15,0.19,0.3,0.69,0.55,0.38,0.3,0.64
loki-lib.csv,0.52,0.69,0.43,0.42,0.08,0.1,0.21,0.26,0.62,0.33,0.85,0.67
owlapi.csv,0.7,0.52,0.0,0.41,0.0,0.0,0.53,0.42,0.13,0.4,0.46,0.47
pamguard.csv,0.79,0.74,0.44,0.71,0.0,0.14,0.25,0.19,0.48,0.28,0.92,0.7
poormans.csv,0.39,0.06,0.41,0.63,0.08,0.0,0.31,0.27,0.0,0.6,0.61,0.74
