,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.34,0.4,0.46,0.48,0.4,0.69,0.45,0.5,0.48,0.46,0.34,0.75,0.34,0.32,0.38,0.32,0.37,0.47,0.48,0.37
cornerstone.csv,0.43,0.61,0.62,0.61,0.54,0.47,0.53,0.6,0.95,0.8,0.41,0.47,0.48,0.53,0.93,0.37,0.4,0.5,0.64,0.82
emeraldemu.csv,0.48,0.47,0.48,0.53,0.67,0.82,0.64,0.54,0.72,0.48,0.42,0.83,0.61,0.8,0.45,0.8,0.44,0.5,0.78,0.46
grafx2.csv,0.45,0.44,0.48,0.57,0.5,0.64,0.48,0.49,0.5,0.45,0.36,0.44,0.41,0.34,0.35,0.33,0.4,0.47,0.68,0.44
jahshakafx.csv,0.35,0.43,0.42,0.42,0.47,0.67,0.5,0.43,0.56,0.48,0.38,0.8,0.46,0.42,0.36,0.35,0.37,0.33,0.48,0.43
kindb.csv,0.34,0.46,0.43,0.48,0.38,0.43,0.3,0.39,0.35,0.43,0.37,0.57,0.33,0.37,0.43,0.3,0.37,0.83,0.4,0.35
maya-work-in-progress.csv,0.45,0.41,0.44,0.48,0.46,0.44,0.32,0.35,0.38,0.45,0.32,0.35,0.3,0.3,0.4,0.27,0.35,0.35,0.4,0.43
netatalk.csv,0.42,0.42,0.49,0.53,0.53,0.47,0.38,0.42,0.39,0.48,0.43,0.53,0.43,0.33,0.38,0.31,0.4,0.36,0.4,0.5
novembre.csv,0.57,0.52,0.94,0.81,0.86,0.6,0.55,0.56,0.39,0.53,0.49,0.48,0.95,0.46,0.52,0.39,0.52,0.37,0.92,0.64
ns-3.csv,0.45,0.42,0.99,0.8,0.47,0.43,0.33,0.5,0.45,0.64,0.47,0.41,0.35,0.54,0.47,0.44,0.37,0.42,0.45,0.48
nullc.csv,0.51,0.52,0.4,0.56,0.5,0.55,0.45,0.49,0.61,0.75,0.4,0.65,0.42,0.52,0.47,0.46,0.41,0.73,0.57,0.53
open-beos.csv,0.36,0.39,0.55,0.52,0.44,0.51,0.38,0.38,0.5,0.63,0.5,0.38,0.36,0.47,0.39,0.41,0.35,0.39,0.46,0.46
pixel-commandos.csv,0.86,0.65,0.99,0.73,0.88,0.97,0.88,0.98,0.95,0.67,0.9,0.5,0.94,0.76,0.6,0.89,0.77,0.78,0.9,0.91
planeshift.csv,0.49,0.47,0.41,0.53,0.55,0.45,0.44,0.41,0.41,0.49,0.49,0.39,0.4,0.34,0.44,0.39,0.37,0.41,0.54,0.47
plee-the-bear.csv,0.36,0.56,0.53,0.89,0.47,0.41,0.34,0.38,0.4,0.44,0.35,0.39,0.38,0.56,0.44,0.51,0.41,0.4,0.41,0.43
reaper-ecad.csv,0.54,0.9,0.91,0.58,0.5,0.83,0.0,0.88,0.96,0.5,0.93,0.0,0.7,0.0,0.74,0.86,0.51,0.5,0.0,0.8
sbml.csv,0.55,0.43,0.4,0.5,0.44,0.4,0.36,0.35,0.38,0.46,0.31,0.4,0.34,0.32,0.34,0.44,0.37,0.42,0.38,0.47
unimrcp.csv,0.4,0.52,0.57,0.63,0.47,0.61,0.39,0.61,0.65,0.53,0.34,0.46,0.42,0.42,0.43,0.35,0.43,0.53,0.67,0.52
unladen-swallow.csv,0.93,0.56,0.69,0.9,0.78,0.54,0.38,0.53,0.55,0.59,0.65,0.4,0.52,0.42,0.88,0.42,0.43,0.38,0.52,0.88
xmoto.csv,0.43,0.53,0.51,0.67,0.5,0.46,0.45,0.5,0.48,0.62,0.42,0.47,0.46,0.47,0.34,0.44,0.42,0.41,0.42,0.49
