,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.31,0.24,0.28,0.1,0.27,0.15,0.93,0.42,0.25,0.09,0.62,0.88,0.14,0.63
calcubetimer.csv,0.49,0.18,0.31,0.28,0.28,0.09,1.0,0.76,0.26,0.0,0.53,0.88,0.61,0.62
chaosrts.csv,0.36,0.19,0.29,0.15,0.31,0.05,0.93,0.45,0.42,0.05,0.86,0.97,0.22,0.53
chaperon.csv,0.39,0.67,0.48,0.25,0.33,0.5,0.87,0.5,0.43,0.11,0.57,0.81,0.55,0.72
dxengine.csv,0.56,0.12,0.62,0.37,1.0,0.11,0.5,0.62,0.25,0.0,0.59,0.8,0.76,0.74
emono.csv,0.33,0.19,0.31,0.13,0.22,0.09,0.93,0.48,0.37,0.07,0.58,0.87,0.66,0.75
factor.csv,0.0,0.21,0.38,0.1,0.25,0.0,0.95,0.0,0.31,0.0,1.0,0.0,0.9,0.67
jas.csv,0.12,0.18,0.44,0.28,0.37,0.08,0.75,0.35,0.38,0.31,0.46,1.0,0.7,0.52
jmoney.csv,0.77,0.18,0.41,0.22,0.32,0.15,1.0,0.84,0.38,0.06,0.88,0.94,0.46,0.63
jmonkeyengine.csv,0.11,0.16,0.39,0.26,0.4,0.07,0.83,0.28,0.3,0.04,0.62,0.88,0.74,0.62
matrex.csv,0.61,0.29,0.89,0.47,0.12,0.5,1.0,0.85,0.5,0.25,1.0,0.85,0.68,0.79
primefaces.csv,0.37,0.19,0.36,0.28,0.27,0.11,0.92,0.63,0.33,0.06,0.85,0.88,0.64,0.66
roolo.csv,0.34,0.26,0.42,0.15,0.25,0.08,0.95,0.5,0.67,0.07,0.59,0.88,0.32,0.66
sblim.csv,0.47,0.0,1.0,0.57,0.4,0.25,1.0,0.67,0.2,0.0,1.0,0.87,0.5,0.63
