,twostep.csv,columba.csv,les-indemodables.csv,geogebra.csv,mscore.csv,roolo.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.29,0.22,0.11,0.32,0.21,0.54,0.72,0.34,0.56
geogebra.csv,0.29,0.25,0.75,0.24,0.16,0.27,0.02,0.24,0.03
les-indemodables.csv,0.24,0.49,0.29,0.45,0.09,0.54,0.59,0.41,0.52
magicwars.csv,1.0,0.95,1.0,0.84,1.0,0.84,0.09,0.77,0.78
mscore.csv,0.53,0.77,0.62,0.55,0.24,0.86,0.99,0.74,0.73
roolo.csv,0.87,0.91,0.92,0.88,0.54,0.27,0.82,0.87,0.56
turbotrader-bos.csv,0.53,0.13,0.37,0.16,0.11,0.38,0.11,0.25,0.45
twostep.csv,0.22,0.57,0.38,0.63,0.25,0.57,0.79,0.54,0.75
xmemcached.csv,0.96,0.96,0.95,0.36,0.86,0.68,0.95,0.96,0.19
