,twostep.csv,columba.csv,les-indemodables.csv,geogebra.csv,mscore.csv,roolo.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.65,0.62,0.41,0.58,0.55,0.55,0.74,0.68,0.7
geogebra.csv,0.73,0.48,0.81,0.66,0.49,0.2,0.24,0.61,0.26
les-indemodables.csv,0.38,0.44,0.68,0.7,0.46,0.85,0.68,0.68,0.39
magicwars.csv,0.96,0.95,1.0,0.94,1.0,0.95,0.66,0.88,0.78
mscore.csv,0.77,0.91,0.78,0.77,0.7,0.6,0.98,0.91,0.83
roolo.csv,0.65,0.91,0.97,0.78,0.7,0.75,0.69,0.86,0.48
turbotrader-bos.csv,0.92,0.25,0.65,0.44,0.39,0.4,0.33,0.68,0.65
twostep.csv,0.81,0.78,0.68,0.8,0.57,0.5,0.86,0.81,0.83
xmemcached.csv,0.92,0.98,0.84,0.74,0.57,0.9,0.91,0.97,0.74
