,twostep.csv,columba.csv,les-indemodables.csv,geogebra.csv,mscore.csv,roolo.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.61,0.58,0.51,0.43,0.65,0.43,0.45,0.57,0.43
geogebra.csv,0.66,0.46,0.52,0.53,0.61,0.24,0.37,0.59,0.39
les-indemodables.csv,0.43,0.34,0.62,0.43,0.6,0.6,0.46,0.54,0.28
magicwars.csv,0.52,0.45,0.53,0.39,0.75,0.54,0.71,0.52,0.4
mscore.csv,0.57,0.48,0.55,0.42,0.76,0.37,0.48,0.54,0.43
roolo.csv,0.41,0.44,0.54,0.32,0.68,0.67,0.4,0.48,0.31
turbotrader-bos.csv,0.65,0.32,0.56,0.44,0.54,0.38,0.42,0.63,0.45
twostep.csv,0.74,0.49,0.57,0.4,0.65,0.39,0.48,0.56,0.42
xmemcached.csv,0.52,0.46,0.48,0.49,0.53,0.57,0.46,0.5,0.65
