,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.02,0.8,0.17,0.0,0.19,0.29,0.0,0.07,0.06,0.13,0.05,0.0,0.13,0.15,0.0,0.06,0.02,0.0,0.04,0.33
baadengine.csv,0.99,0.05,0.67,0.05,0.59,0.31,0.63,0.46,0.29,0.59,0.21,0.09,0.38,0.68,0.32,0.2,0.64,0.66,0.79,0.69
bibedt.csv,0.57,0.1,0.4,0.0,0.56,0.34,0.54,0.4,0.31,0.42,0.36,0.0,1.0,0.63,0.45,0.15,0.42,0.18,0.72,0.7
cascading.csv,0.68,0.09,0.7,0.05,0.63,0.31,0.51,0.43,0.29,0.59,0.2,0.09,0.31,0.67,0.26,0.19,1.0,0.3,0.73,0.68
chaosrts.csv,0.81,0.06,0.68,0.03,0.67,0.47,0.47,0.43,0.3,0.61,0.21,0.08,0.34,0.67,0.29,0.18,0.78,0.97,0.99,0.86
exl.csv,0.81,0.04,0.85,0.03,0.75,0.41,0.56,0.39,0.32,0.59,0.22,0.09,0.32,0.68,0.29,0.19,0.81,0.58,0.92,1.0
gnome-jabber.csv,0.73,0.03,0.82,0.0,0.65,0.43,0.48,0.38,0.29,0.51,0.21,0.12,0.28,0.71,0.26,0.22,0.86,0.99,0.88,0.78
gogoego.csv,0.48,0.0,0.32,0.06,0.36,0.19,0.44,0.94,0.3,0.42,0.13,0.13,0.3,0.2,0.33,0.25,0.4,0.97,0.37,0.32
httpcontentparser.csv,0.05,0.0,0.05,0.0,0.14,0.38,0.06,0.17,0.12,0.14,0.92,0.0,0.2,0.41,0.18,0.12,0.18,0.48,0.12,0.16
impala.csv,0.46,0.12,0.09,0.02,0.69,0.43,0.12,0.38,0.3,0.0,0.18,0.0,0.24,0.39,0.0,0.91,0.68,0.77,0.8,0.15
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.15,0.0,0.2,0.0,0.16,0.98,0.17,0.28,0.08,0.32,0.0,0.13,0.12,0.11,0.17,0.0,0.29,0.62,0.33,0.05
jhotdraw.csv,0.22,0.0,0.19,0.0,0.36,0.24,0.0,0.18,0.92,0.06,0.04,0.0,0.25,0.05,0.09,0.0,0.07,0.52,0.16,0.19
patterntesting.csv,0.53,0.05,0.51,0.04,0.62,0.29,0.58,0.42,0.3,0.95,0.25,0.1,0.5,0.68,0.33,0.15,0.62,0.65,0.74,0.72
pokeglobal.csv,0.72,0.09,0.58,0.04,1.0,0.42,0.47,0.4,0.3,0.55,0.2,0.09,0.0,0.63,0.27,0.19,0.71,0.53,0.82,0.29
snakeyaml.csv,0.11,0.25,0.24,0.0,0.41,0.49,0.18,0.33,0.21,0.44,0.19,0.11,0.32,0.51,0.94,0.13,0.35,0.86,0.27,0.37
unflobtactical.csv,0.47,0.22,0.32,0.0,0.57,0.38,0.44,0.32,0.25,0.51,0.2,0.0,0.5,0.99,0.39,0.14,0.43,0.54,0.59,0.78
werx.csv,0.86,0.14,1.0,0.02,0.74,0.45,0.47,0.39,0.31,0.56,0.19,0.08,0.33,0.73,0.22,0.22,0.87,0.97,0.94,0.84
zealos.csv,0.41,0.18,0.72,0.04,0.45,0.45,0.98,0.35,0.27,0.33,0.2,0.0,0.34,0.61,0.22,0.17,0.41,0.72,0.46,0.59
