,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.5,0.51,0.52,0.17,0.34,0.76,0.12,0.96,0.25,0.21
fritzing.csv,0.48,0.71,1.0,0.51,0.64,0.73,0.12,0.24,0.37,0.4
jlinalg.csv,0.99,0.65,0.21,0.41,0.86,0.65,0.59,0.48,0.4,0.52
knowledge.csv,0.71,0.6,0.67,0.61,0.98,0.71,0.38,0.7,0.65,0.58
massiv.csv,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0
multitude.csv,0.49,0.51,0.61,0.61,0.7,0.84,0.43,0.67,0.6,0.95
playerstage.csv,0.33,0.46,0.61,0.98,0.52,0.74,0.23,0.24,0.37,0.45
quarkplusplus.csv,0.69,0.61,0.67,0.57,0.48,0.53,0.24,0.64,1.0,0.32
rtrt-on-gpu.csv,0.15,0.41,0.32,0.34,0.42,0.28,1.0,0.18,0.25,0.37
superwaba.csv,0.32,0.98,0.65,0.67,0.64,0.77,0.4,0.56,0.64,0.54
