,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.42,0.47,0.5,0.24,0.17,0.0,0.38,0.38,0.14,0.0,0.49,0.45
emono.csv,0.33,0.29,0.42,0.23,0.48,0.62,0.28,0.26,0.47,0.0,0.55,0.68
freedom-erp.csv,0.72,0.23,0.61,0.05,0.0,0.21,0.45,0.73,0.0,0.0,0.0,0.01
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.0,0.0,0.98,0.0,0.0
jmoney.csv,0.81,0.46,0.57,0.43,0.32,0.65,0.19,0.33,0.63,0.0,0.63,0.51
jmonkeyengine.csv,0.22,0.45,0.31,0.61,0.59,0.49,0.24,0.0,0.58,0.51,0.27,0.09
jsidplay2.csv,0.68,0.14,0.81,0.26,0.53,0.65,0.71,0.36,0.62,0.0,0.53,0.32
matrex.csv,0.71,0.35,0.41,0.0,0.13,0.64,0.84,0.4,0.0,0.0,0.2,0.15
mediate.csv,0.24,0.33,0.24,0.3,0.26,0.64,0.52,0.59,0.14,0.49,0.0,0.24
mesa3d.csv,0.52,0.57,0.5,0.61,0.42,0.0,0.62,0.44,0.67,0.0,0.57,0.56
pustefix.csv,0.31,0.22,0.25,0.67,0.62,0.18,0.28,0.46,0.14,0.87,0.66,0.55
reaper3d.csv,0.61,0.0,0.56,0.54,0.32,0.06,0.12,0.57,0.74,0.0,0.04,0.39
