,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.56,0.67,0.56,0.41,0.37,0.33,0.46,0.38,0.78,0.51,0.57,0.69
emono.csv,0.75,0.43,0.67,0.43,0.45,0.43,0.4,0.34,0.55,0.5,0.51,0.54
freedom-erp.csv,0.45,0.92,0.44,0.8,0.5,0.91,0.53,0.37,0.0,0.0,0.0,0.5
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.83,0.0,0.0,0.88,0.0,0.0
jmoney.csv,0.43,0.41,0.37,0.59,0.62,0.35,0.92,0.68,0.42,0.6,0.36,0.41
jmonkeyengine.csv,0.62,0.52,0.83,0.48,0.67,0.51,0.74,0.67,0.48,0.58,0.44,0.44
jsidplay2.csv,0.4,0.9,0.39,0.71,0.41,0.39,0.43,0.31,0.51,0.7,0.65,0.94
matrex.csv,0.48,0.82,0.54,0.0,0.89,0.5,0.44,0.71,0.67,0.0,0.96,0.92
mediate.csv,0.82,0.44,0.73,0.7,0.93,0.48,0.46,0.44,0.94,0.63,0.0,0.81
mesa3d.csv,0.52,0.45,0.44,0.51,0.5,0.32,0.42,0.31,0.42,0.91,0.48,0.48
pustefix.csv,0.53,0.68,0.95,0.69,0.4,0.9,0.69,0.58,0.62,0.77,0.46,0.59
reaper3d.csv,0.48,0.74,0.42,0.43,0.83,0.75,0.93,0.4,0.53,0.75,0.92,0.57
