,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.85,0.74,0.61,0.6,0.54,0.05,0.61,0.24,0.39,0.12
aime.csv,0.47,0.46,0.31,0.0,0.77,0.05,0.15,0.12,0.2,0.2
badtrinitycore.csv,0.0,0.04,0.51,0.83,0.39,0.65,0.69,0.44,0.51,0.47
electric-core.csv,0.66,0.52,0.66,0.56,0.58,0.59,0.65,0.52,0.57,0.49
geochat.csv,0.61,0.21,0.39,0.07,0.17,0.0,0.24,0.02,0.16,0.54
mumble.csv,0.17,0.0,0.39,0.11,0.8,0.73,0.86,0.27,0.52,0.6
olsrd.csv,0.57,0.78,0.57,0.62,0.45,0.28,0.77,0.59,0.62,0.46
silvertree.csv,0.3,0.74,0.48,0.29,0.47,0.72,0.57,0.17,0.52,0.34
skia.csv,0.64,0.66,0.58,0.56,0.64,0.32,0.61,0.43,0.54,0.6
t-2.csv,0.54,0.56,0.48,0.56,0.48,0.52,0.6,0.67,0.55,0.47
