,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.26,0.12,0.3,0.33,0.15,0.41,0.2,0.44,0.16,0.25,0.06,0.59,0.32,0.17,0.04
bl-toolkit.csv,0.84,0.67,0.93,0.87,0.88,0.14,1.0,0.84,0.95,0.98,0.92,0.36,0.45,0.6,0.95
bochs.csv,0.55,0.83,0.99,0.65,0.37,0.86,0.05,0.53,0.53,0.16,0.78,0.48,0.51,0.74,0.09
emeraldemu.csv,0.19,0.09,0.3,0.19,0.39,0.14,0.03,0.09,0.26,0.07,0.47,0.21,0.15,0.69,0.02
fbmanager.csv,0.19,0.11,0.08,0.01,0.89,0.5,0.32,0.09,0.0,0.26,0.31,0.05,0.27,0.45,0.12
modellus.csv,0.06,0.14,0.23,0.44,0.12,0.18,0.23,0.16,0.32,0.25,0.18,0.2,0.38,0.68,0.21
openmalaria.csv,0.48,0.27,0.56,0.78,0.19,0.64,0.36,0.38,0.33,0.39,0.18,0.7,0.55,0.79,0.18
pi-qmc.csv,0.58,0.28,0.56,0.49,0.15,0.55,0.82,0.44,0.39,0.3,0.2,0.28,0.46,0.67,0.21
plplot.csv,0.06,0.23,0.14,0.32,0.1,0.0,0.74,0.09,0.36,0.19,0.2,0.33,0.21,0.82,0.3
powerfolder.csv,0.39,0.12,0.35,0.37,0.11,0.09,0.14,0.38,0.26,0.18,0.18,0.73,0.42,0.09,0.12
psycle.csv,0.35,0.26,0.67,0.71,0.55,0.41,0.49,0.69,0.6,0.32,0.65,0.71,0.73,0.84,0.27
qgis.csv,0.19,0.33,0.24,0.27,0.51,0.36,0.0,0.34,0.14,0.49,0.53,0.27,0.56,0.63,0.16
sbml.csv,0.39,0.4,0.6,0.8,0.99,0.5,0.61,0.16,0.74,0.16,0.39,0.6,0.37,0.79,0.14
unimrcp.csv,0.16,0.22,0.28,0.17,0.12,0.09,0.26,0.09,0.4,0.12,0.24,0.62,0.49,0.44,0.25
wow-qrsk.csv,0.03,0.04,0.47,0.26,0.21,0.45,0.05,0.06,0.27,0.07,0.12,0.17,0.04,0.16,0.0
