,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.99,0.15,0.98,1.04,0.88,0.58,0.97,0.72,0.69,0.59,0.91,0.96,0.72,0.8,0.55,0.95,0.8,0.74,0.7,1.02
baadengine.csv,0.29,0.94,0.88,0.74,0.58,0.66,1.0,0.83,0.96,0.53,0.76,0.98,0.98,0.89,0.37,0.95,0.55,1.0,0.65,0.7
bibedt.csv,0.61,0.68,1.07,0.59,0.61,0.63,0.48,0.54,0.63,0.73,0.94,0.88,0.22,0.53,0.39,0.87,0.62,1.0,0.69,0.48
cascading.csv,0.69,0.75,1.02,0.48,0.61,0.83,0.5,0.67,0.61,0.57,0.56,0.82,0.42,0.48,0.58,0.8,0.54,0.97,0.74,0.36
chaosrts.csv,0.58,1.01,0.98,0.29,0.71,0.67,1.0,0.71,0.75,0.57,0.76,0.65,0.65,0.67,0.59,0.86,0.6,1.0,0.27,0.5
exl.csv,0.68,0.77,1.02,0.75,0.59,0.81,0.45,0.72,0.71,0.76,0.54,1.01,0.61,0.69,0.82,0.72,0.8,0.91,0.8,0.27
gnome-jabber.csv,0.75,1.05,0.93,1.06,0.74,0.89,0.91,0.7,0.84,0.73,0.76,0.73,0.84,0.69,0.65,0.73,0.74,0.45,0.76,0.92
gogoego.csv,0.85,1.02,1.01,0.31,0.56,0.78,0.39,0.53,0.76,0.62,0.57,0.51,0.48,0.63,0.6,0.78,0.55,0.67,0.59,0.4
httpcontentparser.csv,0.8,0.95,0.73,1.06,0.65,0.97,0.93,0.65,0.84,0.83,0.33,0.85,0.61,0.6,0.8,0.71,0.74,0.98,0.86,0.52
impala.csv,0.95,0.6,0.91,0.41,0.84,0.61,0.75,0.79,0.71,0.95,0.87,1.07,0.74,0.84,0.89,0.5,0.83,0.91,0.75,0.61
jaxlib.csv,0.73,0.87,0.91,1.16,0.71,0.64,0.59,0.63,0.83,0.77,0.58,0.06,0.55,0.41,0.9,0.78,0.61,0.95,0.62,0.47
jgameai.csv,0.91,0.53,0.93,1.01,0.87,0.54,1.0,0.89,0.94,0.94,0.86,0.46,0.76,0.87,0.96,0.74,0.76,0.79,0.97,0.98
jhotdraw.csv,0.9,0.75,0.77,0.75,1.0,0.84,0.97,0.97,0.4,0.88,0.85,0.9,0.76,0.94,0.71,0.8,0.69,0.76,0.74,0.92
patterntesting.csv,0.79,0.99,1.0,0.97,0.79,0.95,0.65,0.98,0.89,0.43,0.95,0.9,0.76,0.85,0.98,0.88,0.94,0.53,0.89,0.92
pokeglobal.csv,0.95,0.85,1.0,0.26,0.38,0.79,1.0,0.69,0.92,0.7,0.72,1.24,1.0,0.93,0.94,0.79,0.52,0.89,0.79,0.92
snakeyaml.csv,0.77,1.02,0.85,0.18,0.59,0.8,0.69,0.66,0.53,0.67,0.71,1.07,1.0,0.8,0.38,0.98,0.76,0.9,0.76,0.49
unflobtactical.csv,0.7,0.68,1.0,0.57,0.62,0.92,0.83,0.7,0.81,0.42,0.49,0.85,0.48,0.43,0.6,0.84,0.52,0.61,0.65,0.5
werx.csv,0.99,0.85,0.03,1.0,0.97,1.0,1.0,0.95,1.0,1.0,1.0,0.98,1.0,1.0,0.99,0.97,0.97,1.0,1.0,0.77
zealos.csv,0.87,1.0,0.98,1.01,0.98,0.81,0.39,0.89,0.97,0.74,1.0,1.02,1.0,0.94,0.96,1.0,0.93,0.98,0.66,1.0
