,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.74,0.09,0.93,0.02,0.68,0.4,0.45,0.38,0.27,0.47,0.56,0.09,1.0
avifile.csv,0.6,0.31,1.0,0.0,0.83,0.29,0.5,0.29,0.19,0.67,0.32,0.1,0.82
baadengine.csv,0.92,0.07,0.96,0.01,0.74,0.28,0.31,0.27,0.17,0.52,0.3,0.12,0.81
gdis.csv,0.86,0.04,0.98,0.0,0.63,0.42,0.36,0.24,0.18,0.39,0.39,0.11,1.0
gogoego.csv,0.81,0.0,0.95,0.07,0.63,0.18,0.5,0.35,0.21,0.53,0.37,0.08,0.91
impala.csv,0.67,0.09,1.0,0.02,0.56,0.31,0.29,0.24,0.17,0.25,0.25,0.23,0.94
jgameai.csv,0.64,0.18,0.9,0.0,0.57,0.4,0.0,0.25,0.12,0.4,0.62,0.18,0.69
jhotdraw.csv,0.73,0.08,0.98,0.01,0.57,0.3,0.0,0.23,0.46,0.32,0.48,0.11,0.77
patterntesting.csv,0.75,0.06,0.98,0.01,0.62,0.3,0.3,0.24,0.19,0.67,0.3,0.11,0.83
pokeglobal.csv,0.77,0.09,0.98,0.03,0.78,0.28,0.31,0.33,0.19,0.52,0.28,0.13,0.83
werx.csv,0.75,0.08,1.0,0.01,0.59,0.29,0.31,0.23,0.18,0.38,0.28,0.12,0.81
zealos.csv,0.88,0.12,1.0,0.0,0.5,0.56,0.5,0.34,0.14,0.73,0.53,0.0,0.83
