,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.61,0.47,0.93,0.53,0.55,0.77,0.65,0.77,0.96,0.55,0.64,0.93,0.83
avifile.csv,0.98,0.94,0.94,0.77,0.83,0.79,0.75,0.64,0.5,0.5,0.57,0.6,0.38
baadengine.csv,0.47,0.37,0.6,0.36,0.41,0.41,0.54,0.34,0.34,0.35,0.34,0.34,0.36
gdis.csv,0.75,0.79,0.41,0.61,0.47,0.84,0.55,0.47,0.47,0.44,0.68,0.53,0.36
gogoego.csv,0.66,0.5,0.76,0.86,0.39,0.58,0.46,0.59,0.54,0.37,0.42,0.52,0.3
impala.csv,0.97,0.48,0.83,0.52,0.52,0.52,0.62,0.48,0.52,0.94,0.94,0.83,0.89
jgameai.csv,0.65,0.94,0.9,0.83,0.86,0.66,0.0,0.97,0.98,0.9,0.88,0.91,0.83
jhotdraw.csv,0.51,0.51,0.38,0.52,0.43,0.54,0.0,0.38,0.83,0.57,0.67,0.61,0.45
patterntesting.csv,0.42,0.36,0.37,0.42,0.39,0.49,0.55,0.36,0.37,0.57,0.35,0.36,0.38
pokeglobal.csv,0.41,0.38,0.39,0.59,0.46,0.46,0.54,0.56,0.37,0.6,0.44,0.41,0.61
werx.csv,0.42,0.42,0.37,0.41,0.41,0.48,0.54,0.38,0.36,0.43,0.36,0.33,0.36
zealos.csv,0.99,0.88,0.95,0.94,0.5,0.89,0.61,0.98,0.93,0.91,0.79,0.83,0.59
