,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.53,0.17,0.13,0.04,0.58,0.43,0.57,0.41,0.16,0.61,0.58,0.11,0.19
avifile.csv,0.14,0.48,0.15,0.0,0.21,0.28,0.12,0.34,0.27,0.59,0.35,0.14,0.87
baadengine.csv,0.85,0.12,0.36,0.03,0.59,0.29,0.47,0.42,0.28,0.63,0.46,0.22,0.9
gdis.csv,0.43,0.07,0.9,0.0,0.69,0.46,0.53,0.37,0.29,0.56,0.43,0.19,0.9
gogoego.csv,0.35,0.0,0.3,0.13,0.67,0.22,0.61,0.41,0.28,0.63,0.46,0.12,0.78
impala.csv,0.1,0.16,0.42,0.04,0.62,0.45,0.33,0.34,0.26,0.17,0.21,0.33,0.45
jgameai.csv,0.55,0.27,0.09,0.0,0.17,0.46,0.0,0.16,0.11,0.2,0.32,0.11,0.47
jhotdraw.csv,0.75,0.15,0.96,0.02,0.7,0.46,0.0,0.37,0.52,0.42,0.52,0.18,0.76
patterntesting.csv,0.85,0.11,0.95,0.02,0.76,0.46,0.46,0.39,0.32,0.67,0.45,0.19,0.83
pokeglobal.csv,0.84,0.16,0.94,0.06,0.74,0.34,0.47,0.4,0.31,0.64,0.4,0.22,0.4
werx.csv,0.85,0.16,0.98,0.02,0.73,0.45,0.47,0.37,0.31,0.55,0.43,0.21,0.89
zealos.csv,0.26,0.15,0.19,0.0,0.05,0.29,0.61,0.23,0.05,0.39,0.48,0.0,0.56
