,autofac.csv,mobicents.csv,snakeyaml.csv,chrysalis.csv,xamj.csv
autofac.csv,0.0,1.0,16.0,8.0,0.0
chrysalis.csv,2.0,0.0,38.0,2.0,0.0
mobicents.csv,2.0,0.0,3.0,1.0,0.0
snakeyaml.csv,1.0,1.0,1.0,160.0,0.0
xamj.csv,5.0,0.0,20.0,17.0,1.0
