,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.34,0.37,0.49,0.42,0.21,0.38,0.61,0.57,0.98,0.45,0.59
google-gears.csv,0.68,0.69,0.59,0.48,0.21,0.46,0.7,0.99,0.45,0.51,0.62
grafx2.csv,0.33,0.98,0.51,0.32,0.25,0.48,0.49,0.47,0.46,0.4,0.55
kmess.csv,0.43,0.53,0.57,0.28,0.28,0.38,1.0,0.53,0.39,0.43,0.63
megameknet.csv,0.62,0.59,0.58,0.38,0.15,0.91,0.41,0.62,0.45,0.44,0.41
minig.csv,0.7,0.69,0.64,0.98,0.31,0.49,0.72,0.65,0.49,0.51,0.66
ns-3.csv,0.99,0.6,0.62,0.5,0.24,0.34,0.71,0.71,0.55,0.4,0.71
omseek.csv,0.21,0.44,0.18,0.29,0.94,0.19,0.35,0.18,0.33,0.31,0.19
quickfast.csv,0.58,0.72,0.62,0.62,0.23,0.5,0.65,0.69,0.62,0.53,0.98
sylpheed-claws.csv,0.51,0.56,0.98,0.55,0.26,0.52,0.55,0.52,0.63,0.52,0.63
xamj.csv,0.6,0.62,0.49,0.51,0.22,0.43,0.61,0.53,0.57,0.98,0.53
