,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,4.0,3.0,2.0,6.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0
google-gears.csv,0.0,1.0,0.0,5.0,73.0,9.0,1.0,0.0,4.0,5.0,2.0
grafx2.csv,2.0,0.0,0.0,0.0,21.0,5.0,0.0,1.0,1.0,4.0,0.0
kmess.csv,0.0,0.0,1.0,14.0,37.0,2.0,0.0,0.0,2.0,0.0,6.0
megameknet.csv,0.0,1.0,1.0,5.0,60.0,0.0,1.0,0.0,3.0,5.0,0.0
minig.csv,0.0,1.0,1.0,0.0,18.0,9.0,0.0,0.0,0.0,9.0,0.0
ns-3.csv,0.0,2.0,16.0,16.0,46.0,2.0,0.0,0.0,0.0,0.0,1.0
omseek.csv,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0
quickfast.csv,0.0,2.0,3.0,5.0,40.0,3.0,1.0,0.0,1.0,0.0,1.0
sylpheed-claws.csv,1.0,2.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0
xamj.csv,0.0,2.0,13.0,1.0,27.0,2.0,0.0,0.0,4.0,0.0,1.0
