,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.8,0.76,0.66,0.68,0.64,0.63,0.69,0.7,0.04,0.59,0.56
google-gears.csv,0.78,0.55,0.59,0.6,0.83,0.55,0.83,0.03,0.67,0.51,0.65
grafx2.csv,0.8,0.05,0.62,0.79,0.59,0.56,0.67,0.72,0.66,0.68,0.6
kmess.csv,0.73,0.68,0.77,0.84,0.5,0.65,0.0,0.76,0.73,0.7,0.63
megameknet.csv,0.72,0.82,0.59,0.72,0.78,0.14,0.84,0.79,0.8,0.62,0.73
minig.csv,0.65,0.7,0.52,0.04,0.47,0.45,0.62,0.67,0.64,0.52,0.79
ns-3.csv,0.02,0.77,0.62,0.66,0.59,0.72,0.64,0.67,0.61,0.83,0.61
omseek.csv,0.89,0.8,0.89,0.8,0.09,0.9,0.78,0.9,0.78,0.77,0.9
quickfast.csv,0.72,0.39,0.72,0.44,0.62,0.44,0.64,0.52,0.61,0.49,0.04
sylpheed-claws.csv,0.65,0.58,0.02,0.53,0.6,0.43,0.6,0.65,0.48,0.52,0.51
xamj.csv,0.64,0.63,0.65,0.8,0.62,0.56,0.57,0.66,0.9,0.04,0.62
