,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.78,0.67,0.67,0.56,0.58,0.67,0.48,0.51,0.55,0.61,0.54
google-gears.csv,0.47,0.44,0.5,0.53,0.43,0.59,0.41,0.5,0.63,0.48,0.43
grafx2.csv,0.88,0.46,0.44,0.94,0.64,0.59,0.6,0.55,0.63,0.74,0.55
kmess.csv,0.75,0.53,0.52,0.68,0.65,0.59,0.49,0.66,0.64,0.64,0.49
megameknet.csv,0.58,0.59,0.4,0.75,0.61,0.73,0.75,0.62,0.58,0.6,0.82
minig.csv,0.43,0.48,0.39,0.57,0.46,0.45,0.41,0.41,0.59,0.46,0.44
ns-3.csv,0.49,0.6,0.42,0.41,0.55,0.63,0.44,0.46,0.41,0.58,0.43
omseek.csv,0.96,0.79,0.94,0.94,0.97,0.85,0.96,0.93,0.88,0.9,0.86
quickfast.csv,0.56,0.35,0.41,0.4,0.49,0.46,0.49,0.51,0.46,0.41,0.4
sylpheed-claws.csv,0.54,0.44,0.51,0.54,0.56,0.54,0.54,0.61,0.44,0.55,0.41
xamj.csv,0.49,0.52,0.56,0.45,0.51,0.53,0.49,0.5,0.46,0.65,0.52
