,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.23,0.24,0.38,0.38,0.34,0.24,0.55,0.43,0.01,0.37,0.09
google-gears.csv,0.72,0.5,0.45,0.29,0.83,0.17,0.8,0.03,0.25,0.33,0.53
grafx2.csv,0.15,0.0,0.21,0.09,0.29,0.13,0.16,0.27,0.27,0.14,0.09
kmess.csv,0.24,0.47,0.71,0.43,0.37,0.58,0.0,0.49,0.24,0.62,0.5
megameknet.csv,0.59,0.76,0.44,0.18,0.56,0.0,0.51,0.65,0.63,0.2,0.12
minig.csv,0.57,0.68,0.41,0.0,0.45,0.34,0.56,0.51,0.31,0.25,0.75
ns-3.csv,0.01,0.71,0.55,0.56,0.49,0.64,0.58,0.57,0.44,0.76,0.56
omseek.csv,0.12,0.55,0.05,0.25,0.0,0.57,0.11,0.05,0.14,0.14,0.06
quickfast.csv,0.53,0.21,0.69,0.32,0.54,0.32,0.53,0.3,0.55,0.29,0.03
sylpheed-claws.csv,0.17,0.16,0.02,0.18,0.25,0.25,0.16,0.19,0.28,0.2,0.16
xamj.csv,0.41,0.53,0.36,0.77,0.39,0.5,0.31,0.27,0.87,0.0,0.19
