,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.27,0.32,0.49,0.46,0.48,0.46,0.55,0.47,0.97,0.56,0.5
google-gears.csv,0.54,0.69,0.6,0.51,0.49,0.52,0.49,0.99,0.42,0.62,0.58
grafx2.csv,0.25,0.96,0.46,0.26,0.51,0.5,0.4,0.37,0.43,0.38,0.45
kmess.csv,0.35,0.51,0.55,0.31,0.66,0.62,1.0,0.44,0.35,0.58,0.59
megameknet.csv,0.54,0.51,0.59,0.34,0.45,0.88,0.35,0.49,0.47,0.45,0.32
minig.csv,0.62,0.63,0.67,0.97,0.77,0.69,0.66,0.54,0.47,0.58,0.53
ns-3.csv,0.99,0.55,0.64,0.59,0.63,0.57,0.64,0.59,0.57,0.5,0.67
omseek.csv,0.15,0.43,0.13,0.28,0.93,0.32,0.27,0.12,0.27,0.29,0.13
quickfast.csv,0.5,0.69,0.6,0.7,0.63,0.7,0.59,0.59,0.66,0.63,0.98
sylpheed-claws.csv,0.42,0.49,0.98,0.54,0.49,0.67,0.47,0.43,0.63,0.56,0.55
xamj.csv,0.52,0.6,0.49,0.53,0.54,0.68,0.55,0.43,0.39,0.97,0.45
