,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.67,0.57,0.53,0.4,0.14,0.34,0.64,0.77,0.98,0.39,0.88
google-gears.csv,0.66,0.63,0.56,0.49,0.12,0.45,0.62,0.99,0.56,0.44,0.63
grafx2.csv,0.74,1.0,0.65,0.59,0.17,0.51,0.79,0.8,0.56,0.52,0.86
kmess.csv,0.72,0.55,0.48,0.28,0.18,0.26,1.0,0.73,0.53,0.32,0.64
megameknet.csv,0.66,0.51,0.56,0.5,0.09,0.98,0.53,0.73,0.41,0.47,0.76
minig.csv,0.7,0.58,0.61,1.0,0.19,0.38,0.69,0.78,0.55,0.48,0.59
ns-3.csv,0.99,0.53,0.55,0.41,0.14,0.23,0.68,0.78,0.53,0.28,0.67
omseek.csv,0.67,0.46,0.67,0.35,0.97,0.13,0.78,0.86,0.58,0.43,0.71
quickfast.csv,0.66,0.78,0.51,0.56,0.14,0.39,0.67,0.86,0.54,0.48,0.98
sylpheed-claws.csv,0.81,0.76,0.98,0.62,0.19,0.43,0.81,0.86,0.65,0.52,0.83
xamj.csv,0.71,0.58,0.54,0.38,0.14,0.3,0.74,0.82,0.44,1.0,0.76
