,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.84,0.9,0.89,0.64,0.84,0.88,0.74,0.91,0.81,0.73,0.56,0.98,0.73,0.85,0.76
encog-cs.csv,0.6,0.87,0.63,0.48,0.74,0.52,0.67,0.67,0.6,0.77,0.51,0.91,0.8,0.61,0.88
extprosys.csv,1.18,0.88,0.78,0.82,0.8,0.74,0.82,0.79,0.89,0.86,0.81,0.61,0.79,0.64,0.74
ibatisdb.csv,1.0,0.91,0.84,0.91,0.62,0.75,0.85,0.87,0.67,0.65,0.74,0.96,0.95,0.38,0.63
intact.csv,1.0,0.56,0.95,0.56,0.77,0.67,0.97,0.9,0.81,0.75,0.74,0.87,0.76,0.9,0.95
japano.csv,1.37,1.0,0.96,1.0,0.96,0.97,1.0,0.78,0.96,0.95,0.99,0.97,1.0,0.87,0.97
lockss.csv,1.0,0.78,0.98,0.99,0.97,1.0,0.79,0.83,0.86,0.87,0.62,0.91,0.88,0.84,0.95
ofbiz.csv,1.31,0.9,0.94,0.83,0.7,0.73,0.7,0.75,0.56,0.71,0.67,0.83,0.57,0.71,0.82
officefloor.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.97,0.96
opennms.csv,1.01,0.94,0.98,0.93,0.75,0.93,0.7,0.98,0.94,0.69,0.97,0.7,0.87,0.97,1.0
rohxel.csv,0.64,0.55,0.99,0.62,0.8,0.62,0.64,0.54,0.6,0.56,0.73,0.83,0.78,0.51,0.9
roolo.csv,1.18,0.71,0.68,0.6,0.72,0.8,0.84,0.8,0.92,0.9,0.96,0.39,0.72,0.98,0.59
sevenupdate.csv,0.97,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.98,0.91,1.0,1.0,0.99,1.0,1.0
web-cat.csv,0.65,0.56,0.78,0.75,0.85,0.61,0.93,0.91,0.97,0.73,0.8,0.78,0.62,0.69,0.28
