,olsrd.csv,reaper-ecad.csv,rtb-team.csv,autofac.csv,sidekar.csv,fluidium.csv,jsr308-langtools.csv,illumination.csv,buddata-ebxml-registry.csv
autofac.csv,0.88,0.17,0.53,1.0,0.67,0.52,0.87,0.41,0.43
buddata-ebxml-registry.csv,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
fluidium.csv,0.51,0.17,0.73,0.55,0.45,0.95,0.33,0.53,0.28
illumination.csv,0.31,0.29,0.13,0.38,0.09,0.52,0.27,0.94,0.24
jsr308-langtools.csv,0.34,0.88,0.13,0.28,0.5,0.48,1.0,0.59,0.33
olsrd.csv,0.97,0.83,0.87,0.62,0.73,0.33,0.6,0.82,0.6
reaper-ecad.csv,0.29,0.96,1.0,0.66,0.58,0.86,0.47,0.59,0.64
rtb-team.csv,0.43,0.12,0.93,0.28,0.14,0.1,0.03,0.18,0.19
sidekar.csv,0.54,0.92,0.13,0.34,0.98,0.14,0.8,0.53,0.42
