,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.21,0.19,0.28,0.13,0.29,0.13,0.26,0.29,0.19,0.15,0.28,0.28
freedom-erp.csv,0.16,0.33,0.2,0.46,0.32,0.43,0.15,0.2,0.19,0.44,0.21,0.35
haggle.csv,0.16,0.21,0.15,0.26,0.16,0.41,0.26,0.3,0.35,0.1,0.16,0.29
javaprofiler.csv,0.33,0.37,0.28,0.48,0.29,0.4,0.34,0.31,0.28,0.5,0.33,0.32
jchassis.csv,0.34,0.41,0.38,0.48,0.32,0.44,0.33,0.31,0.4,0.5,0.33,0.4
jmoney.csv,0.16,0.19,0.19,0.13,0.26,0.13,0.24,0.16,0.16,0.09,0.15,0.12
jsidplay2.csv,0.21,0.29,0.25,0.27,0.26,0.28,0.18,0.28,0.26,0.18,0.33,0.23
madman.csv,0.18,0.14,0.24,0.12,0.19,0.14,0.16,0.31,0.16,0.16,0.18,0.19
matrex.csv,0.2,0.15,0.19,0.1,0.23,0.15,0.23,0.24,0.18,0.34,0.33,0.23
mediate.csv,0.15,0.14,0.28,0.15,0.26,0.14,0.32,0.2,0.26,0.44,0.21,0.3
primefaces.csv,0.26,0.37,0.16,0.47,0.29,0.41,0.22,0.23,0.37,0.4,0.21,0.23
tmva.csv,0.28,0.27,0.35,0.33,0.32,0.31,0.34,0.31,0.25,0.31,0.24,0.32
