,f1,g,recall,precision,pf,wins
checker-framework.csv,0.505,0.51,0.675,0.475,0.58,11
customsagetv.csv,0.32,0.245,0.21000000000000002,0.625,0.13,5
fluidium.csv,0.03,0.02,0.02,0.15000000000000002,0.015,0
guineu.csv,0.5700000000000001,0.44,0.695,0.45999999999999996,0.77,7
inkscape.csv,0.54,0.4,0.8049999999999999,0.46499999999999997,0.7649999999999999,9
mpqc.csv,0.33499999999999996,0.35,0.33,0.33499999999999996,0.49,1
nsis.csv,0.4,0.505,0.63,0.355,0.635,3
octave.csv,0.375,0.33999999999999997,0.31,0.43,0.36,2
owfs.csv,0.51,0.565,0.7949999999999999,0.425,0.67,12
owlib.csv,0.59,0.58,0.61,0.53,0.45,14
pamguard.csv,0.38,0.495,0.45499999999999996,0.455,0.305,10
prelude.csv,0.59,0.365,0.92,0.46499999999999997,0.895,8
robocode.csv,0.515,0.58,0.605,0.475,0.45,13
uwom-server.csv,0.41500000000000004,0.44499999999999995,0.43999999999999995,0.355,0.4,4
zengine.csv,0.595,0.22499999999999998,0.975,0.42500000000000004,0.945,6
zildo.csv,0.5,0.565,0.5800000000000001,0.535,0.315,15
