,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.39,0.15,0.49,0.42,0.25,0.25,0.07,0.22,0.2,0.5
flylegacy.csv,0.39,0.73,0.68,0.22,0.46,0.45,0.61,0.33,0.62,0.57
ftm.csv,0.57,0.3,0.74,0.24,0.4,0.5,0.48,0.61,0.63,0.79
jcache.csv,0.6,0.8,0.85,0.2,0.57,0.47,0.45,0.56,0.29,0.86
lphant.csv,0.57,0.67,0.74,0.28,0.68,0.63,0.44,0.65,0.65,0.77
minig.csv,0.42,0.73,0.75,0.24,0.55,0.69,0.42,0.57,0.15,0.47
mob-sen-plat.csv,0.55,0.84,0.86,0.24,0.73,0.54,0.5,0.58,0.62,0.7
raygina.csv,0.64,0.0,0.64,0.25,0.34,0.52,0.41,0.58,0.09,0.49
upp-mirror.csv,0.48,0.21,0.78,0.31,0.74,0.39,0.27,0.42,0.53,0.51
yarp.csv,0.39,0.0,0.4,0.06,0.0,0.34,0.58,0.28,0.09,0.33
