,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.32,0.09,0.38,0.64,0.16,0.17,0.04,0.14,0.13,0.35
flylegacy.csv,0.56,0.91,0.6,0.47,0.39,0.76,0.92,0.36,0.97,0.82
ftm.csv,0.6,0.18,0.68,0.43,0.3,0.43,0.52,0.82,0.66,0.82
jcache.csv,1.0,0.85,0.95,0.49,0.53,0.54,0.44,0.95,0.21,0.91
lphant.csv,1.0,0.61,0.7,0.7,0.77,0.72,0.44,0.68,0.79,0.85
minig.csv,0.56,0.91,0.78,0.79,0.58,0.72,0.52,1.0,0.1,0.32
mob-sen-plat.csv,0.92,0.79,0.98,0.73,0.86,0.91,0.56,0.82,0.84,0.74
raygina.csv,0.68,0.0,0.54,0.43,0.23,0.46,0.36,0.86,0.05,0.32
upp-mirror.csv,0.56,0.12,0.79,0.77,0.7,0.46,0.2,0.41,0.44,0.41
yarp.csv,0.28,0.0,0.27,0.06,0.0,0.37,0.6,0.23,0.05,0.35
