,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.5,0.5,0.71,0.31,0.59,0.44,0.5,0.6,0.42,0.86
flylegacy.csv,0.3,0.61,0.79,0.15,0.56,0.32,0.45,0.3,0.46,0.43
ftm.csv,0.54,0.86,0.81,0.17,0.61,0.59,0.45,0.49,0.62,0.76
jcache.csv,0.42,0.76,0.76,0.13,0.61,0.41,0.46,0.4,0.43,0.82
lphant.csv,0.4,0.74,0.79,0.17,0.61,0.56,0.44,0.62,0.56,0.71
minig.csv,0.34,0.61,0.72,0.15,0.53,0.66,0.35,0.4,0.35,0.85
mob-sen-plat.csv,0.39,0.9,0.76,0.15,0.64,0.39,0.45,0.45,0.5,0.68
raygina.csv,0.61,0.0,0.77,0.18,0.65,0.6,0.47,0.43,0.38,1.0
upp-mirror.csv,0.42,0.67,0.76,0.2,0.78,0.34,0.42,0.43,0.68,0.67
yarp.csv,0.64,0.0,0.77,0.06,0.0,0.32,0.56,0.36,0.38,0.31
