,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.8,0.46,0.49,0.48,0.38,0.42,0.52,0.47,0.34,0.45,0.38,0.56,0.4
bscwweasel.csv,0.75,0.96,0.49,0.65,0.42,0.58,0.6,0.48,0.7,0.64,0.88,0.95,0.51
capcode.csv,0.67,0.46,0.51,0.52,0.58,0.64,0.82,0.97,0.6,0.53,0.64,0.77,0.58
emite.csv,0.3,0.48,0.42,0.52,0.34,0.4,0.81,0.57,0.52,0.58,0.47,0.6,0.44
geogebra.csv,0.91,0.54,0.51,0.61,0.34,0.42,0.41,0.43,0.38,0.44,0.8,0.46,0.41
hibernate.csv,0.28,0.89,0.49,0.45,0.35,0.44,0.66,0.76,0.45,0.6,0.87,0.57,0.48
lamp.csv,0.27,0.63,0.67,0.45,0.33,0.39,0.38,0.51,0.37,0.46,0.63,0.4,0.46
nodal.csv,0.5,0.75,0.6,0.53,0.5,0.43,0.61,0.94,0.71,0.56,0.75,0.6,0.44
retromenu.csv,0.75,0.53,0.75,0.89,0.33,0.6,0.37,0.7,0.52,0.98,0.74,0.56,0.56
smbopensoft.csv,0.4,0.39,0.49,0.59,0.52,0.94,0.57,0.72,0.95,0.49,0.41,0.67,0.52
stuproa-cims.csv,0.0,0.88,0.57,0.55,0.39,0.92,0.75,0.72,0.41,0.8,0.73,0.54,0.45
thout.csv,0.48,0.49,0.56,0.77,0.4,0.38,0.39,0.36,0.32,0.46,0.41,0.42,0.52
uface.csv,0.27,0.4,0.46,0.46,0.31,0.38,0.38,0.39,0.4,0.39,0.36,0.4,0.36
