,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.97,0.62,0.51,0.57,0.59,0.65,0.53,0.67,0.87,0.68,0.83,0.5,0.55
bscwweasel.csv,0.97,0.8,0.5,0.41,0.53,0.56,0.82,0.7,0.65,0.68,0.84,0.64,0.43
capcode.csv,0.98,0.76,0.77,0.73,0.67,0.49,0.74,0.74,0.47,0.57,0.81,0.67,0.56
emite.csv,0.68,0.75,0.5,0.5,0.53,0.76,0.79,0.72,0.79,0.66,0.45,0.56,0.39
geogebra.csv,0.89,0.6,0.53,0.59,0.56,0.58,0.85,0.67,0.59,0.59,0.9,0.38,0.4
hibernate.csv,0.99,0.79,0.97,0.99,0.68,0.54,0.8,0.64,0.72,0.54,0.8,0.49,0.69
lamp.csv,0.96,0.42,0.67,0.63,1.0,0.83,0.97,0.62,0.72,0.61,0.79,0.96,0.72
nodal.csv,0.98,0.76,0.57,0.64,0.85,0.58,0.71,0.78,0.47,0.65,0.81,0.52,0.47
retromenu.csv,0.97,0.47,0.71,0.66,0.3,0.79,0.73,0.83,0.66,0.8,0.68,0.48,0.66
smbopensoft.csv,0.3,0.97,0.95,0.9,0.98,0.78,0.65,0.85,0.64,0.85,0.82,0.87,0.45
stuproa-cims.csv,1.0,0.86,0.6,0.64,0.6,0.76,0.98,0.49,0.68,0.72,0.73,0.58,0.54
thout.csv,0.62,0.78,0.49,0.71,0.65,0.93,1.0,0.9,0.97,0.85,0.85,0.89,0.64
uface.csv,1.0,1.0,0.87,0.52,0.73,0.66,0.95,0.7,0.62,0.6,0.62,0.71,0.11
