,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.63,0.12,0.47,0.59,0.7,0.76,0.58,0.82,0.76,0.66,0.89,1.0,0.67,0.67,0.97,0.58,0.6,0.91
bscwweasel.csv,0.47,0.04,0.56,0.26,0.7,0.57,0.5,0.53,0.25,0.28,0.36,0.8,0.3,0.48,0.19,0.48,0.19,0.45
capcode.csv,0.66,0.03,0.88,0.26,0.9,0.48,0.92,0.59,0.49,0.72,0.44,0.6,0.77,0.42,0.55,0.36,0.79,0.65
dspace-gsoc.csv,0.72,0.98,0.75,0.41,0.7,0.62,1.0,0.7,0.41,0.89,0.78,0.6,0.68,0.76,0.97,0.58,0.52,0.88
emite.csv,0.31,0.92,0.22,0.32,0.35,0.86,0.33,0.76,0.32,0.34,0.5,0.2,0.41,0.64,0.71,0.56,0.26,0.7
fbmanager.csv,0.0,0.0,0.0,0.65,0.05,0.57,0.33,0.03,0.0,0.07,0.0,0.2,0.0,0.0,0.19,0.0,0.57,0.0
freenet.csv,0.69,0.39,0.84,0.71,1.0,0.9,0.92,0.72,0.75,0.62,0.75,1.0,0.8,0.94,0.61,0.88,0.71,0.88
geogebra.csv,0.35,0.11,0.25,0.5,0.35,0.81,0.58,0.65,0.61,0.34,0.42,0.6,0.51,0.48,0.1,0.68,0.45,0.63
megameknet.csv,0.72,0.94,0.72,1.0,0.45,0.9,0.83,0.77,0.63,0.41,0.81,0.6,0.68,0.7,0.39,0.82,0.5,0.64
ondex.csv,0.43,0.02,0.25,0.18,0.5,0.19,0.25,0.54,0.33,0.51,0.33,0.4,0.36,0.52,0.35,0.41,0.5,0.76
onotoa.csv,0.51,0.11,0.41,0.29,0.65,0.24,0.42,0.43,0.8,0.74,0.81,0.0,0.41,0.58,0.35,0.27,0.5,0.37
paintown.csv,0.71,0.99,0.56,0.85,1.0,0.9,0.92,0.72,0.47,0.78,0.78,0.8,1.0,0.94,0.68,0.91,0.62,0.99
powerfolder.csv,0.44,0.71,0.16,0.62,0.55,0.9,0.33,0.28,0.25,0.5,0.33,1.0,0.57,0.21,0.1,0.36,0.52,0.26
retromenu.csv,0.03,0.03,0.19,0.44,0.35,0.86,0.25,0.39,0.72,0.04,0.03,0.4,0.38,0.24,0.35,0.56,0.48,0.49
smbopensoft.csv,0.71,0.8,0.91,0.32,0.75,0.95,0.5,0.93,0.83,0.72,0.97,0.8,0.68,0.97,0.81,0.65,0.71,0.72
triplea.csv,0.54,0.43,0.66,0.47,0.4,0.76,0.33,0.75,0.35,0.53,0.47,0.8,0.48,0.18,0.42,0.58,0.17,0.56
tweetsharp.csv,0.41,0.54,0.22,0.09,0.45,0.43,0.25,0.31,0.71,0.7,0.39,0.2,0.42,0.55,0.65,0.35,0.74,0.49
xamj.csv,0.78,0.59,0.41,0.85,0.85,1.0,1.0,0.96,0.95,0.89,0.78,1.0,0.99,0.27,0.61,0.55,0.9,0.65
