,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.64,0.67,0.55,0.21,0.57,0.38,0.45,0.89,0.8,0.35,0.73,0.17,1.0,0.78,0.72,0.67,0.28,0.68,0.61,0.9
encog-cs.csv,0.93,0.67,0.25,0.64,0.45,0.34,0.82,0.56,0.3,0.35,0.73,0.04,0.0,0.43,0.52,0.43,0.36,0.5,0.58,0.04
extprosys.csv,0.68,0.83,0.28,0.79,0.95,0.56,0.18,0.56,0.97,0.99,0.68,1.0,1.0,0.68,0.87,0.76,1.0,0.58,0.71,0.54
freewrl.csv,0.76,0.33,0.65,0.71,0.27,0.3,0.82,0.44,0.29,0.63,0.65,0.25,0.0,0.35,0.27,0.42,0.36,0.26,0.23,0.44
fulguro.csv,0.59,0.33,0.58,0.57,0.27,0.71,0.09,0.89,0.53,0.02,0.62,0.38,1.0,0.85,0.39,0.67,0.48,0.07,0.71,0.24
geotools.csv,0.79,1.0,0.72,0.57,0.68,0.84,0.64,0.44,0.64,0.96,0.78,0.08,1.0,0.12,0.52,0.68,0.2,0.35,0.81,0.77
ibatisdb.csv,0.08,0.33,0.24,0.21,0.32,0.25,0.0,0.33,0.37,0.75,0.11,0.04,0.0,0.15,0.06,0.2,0.0,0.12,0.06,0.08
intact.csv,0.49,0.83,0.31,0.29,0.49,0.33,0.0,0.0,0.18,0.01,0.3,0.0,0.0,0.28,0.56,0.31,0.04,0.45,0.29,0.18
japano.csv,0.8,1.0,0.77,0.93,0.81,0.84,1.0,0.33,0.92,0.63,0.89,1.0,0.0,0.97,0.93,0.8,0.52,0.82,0.55,0.7
miranda-icq.csv,0.32,0.67,0.36,0.0,0.52,0.25,0.0,0.44,0.77,0.37,0.35,0.08,1.0,0.48,0.6,0.29,0.32,0.57,0.29,0.59
ofbiz.csv,0.51,0.5,0.72,0.5,0.42,0.67,0.45,0.22,0.44,0.83,0.22,0.0,0.0,0.23,0.34,0.39,0.0,0.5,0.58,0.23
opennms.csv,0.29,0.83,0.01,0.0,0.21,0.07,0.64,0.0,0.2,0.23,0.32,0.38,0.0,0.47,0.35,0.01,0.0,0.29,0.0,0.11
papertoolkit.csv,0.57,0.0,0.15,0.36,0.19,0.15,0.18,0.22,0.14,0.09,0.38,0.17,0.0,0.17,0.22,0.08,0.44,0.23,0.26,0.03
rohxel.csv,0.53,0.0,0.8,0.14,0.25,0.19,0.27,0.22,0.13,0.08,0.27,0.42,0.0,0.22,0.19,0.38,0.76,0.4,0.03,0.71
roolo.csv,0.72,0.67,0.75,0.64,0.81,0.79,0.27,0.56,0.52,0.66,0.19,0.83,0.0,0.55,0.72,0.7,0.84,0.79,0.68,0.76
sevenupdate.csv,1.0,0.0,1.0,1.0,0.91,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,0.77,0.86,1.0,1.0,0.93,1.0,0.8
soar.csv,0.64,0.67,1.0,0.5,0.78,0.92,0.73,0.89,0.25,1.0,0.84,0.38,1.0,0.92,0.73,0.86,0.16,0.88,0.94,1.0
web-cat.csv,0.7,0.17,0.68,0.5,0.7,0.55,0.91,0.56,0.79,0.55,0.59,0.71,1.0,0.45,0.65,0.6,0.88,0.62,0.26,0.91
