,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.89,0.55,0.55,0.8,0.72,0.86,0.7,0.75,0.7,0.76,0.56,0.56,0.83,0.54,0.87,0.83,0.83,0.48,0.62,0.9
alpine.csv,0.67,0.84,0.8,0.83,0.93,0.0,0.89,0.88,0.75,0.91,0.96,0.88,0.95,0.96,0.91,0.78,0.93,0.8,0.92,0.67
autowikibrowser.csv,0.43,0.38,0.31,0.41,0.53,0.32,0.41,0.4,0.4,0.4,0.45,0.44,0.44,0.39,0.4,0.35,0.47,0.31,0.45,0.54
critterding.csv,0.62,0.49,0.36,0.61,0.72,0.45,0.49,0.53,0.4,0.61,0.52,0.54,0.86,0.41,0.48,0.54,0.68,0.36,0.44,0.49
firebird.csv,0.56,0.51,0.55,0.62,0.72,0.52,0.5,0.73,0.62,0.59,0.49,0.56,0.67,0.55,0.53,0.54,0.64,0.46,0.57,0.67
fmri-dmt.csv,0.75,0.97,0.67,0.5,0.83,0.0,0.83,0.89,0.86,0.89,0.97,0.75,0.97,0.67,0.0,0.0,0.93,0.83,0.93,0.93
genecys.csv,0.44,0.41,0.3,0.47,0.5,0.45,0.4,0.42,0.36,0.43,0.43,0.4,0.5,0.39,0.43,0.39,0.46,0.33,0.36,0.44
hydrogen.csv,0.65,0.97,0.71,0.88,0.79,0.53,0.9,0.94,0.85,0.9,0.66,0.91,0.96,0.47,0.5,0.67,0.88,0.91,0.92,0.92
jcae.csv,0.5,0.86,0.89,0.5,0.0,0.89,0.5,0.9,0.83,0.0,0.61,0.0,0.75,0.0,0.0,0.0,0.5,0.8,0.86,0.93
kftpgrabber.csv,0.56,0.52,0.5,0.8,0.77,0.38,0.58,0.94,0.67,0.93,0.52,0.71,0.61,0.4,0.53,0.57,0.61,0.48,0.7,0.45
libarchive.csv,0.37,0.4,0.35,0.39,0.52,0.31,0.41,0.46,0.44,0.43,0.42,0.48,0.46,0.36,0.43,0.38,0.4,0.31,0.44,0.54
mimosa.csv,0.48,0.46,0.43,0.83,0.6,0.46,0.5,0.46,0.56,0.78,0.63,0.59,0.6,0.44,0.48,0.38,0.63,0.33,0.35,0.69
monetdb.csv,0.77,0.6,0.93,0.85,0.8,0.53,0.61,0.92,0.51,0.64,0.6,0.63,0.89,0.57,0.68,0.57,0.97,0.71,0.68,0.69
nosleepsoftware.csv,0.42,0.41,0.33,0.75,0.59,0.3,0.43,0.62,0.46,0.45,0.47,0.48,0.53,0.35,0.45,0.5,0.5,0.38,0.45,0.55
openmsx.csv,0.61,0.61,0.36,0.43,0.56,0.5,0.49,0.59,0.55,0.69,0.48,0.52,0.76,0.8,0.5,0.44,0.7,0.38,0.58,0.57
quarkplayer.csv,0.94,0.7,0.8,0.73,0.67,0.0,0.77,0.0,0.67,0.67,0.71,0.9,0.72,0.67,0.0,0.75,0.64,0.5,0.95,0.95
riff-evolve.csv,0.46,0.38,0.38,0.64,0.56,0.37,0.41,0.56,0.53,0.45,0.43,0.51,0.56,0.35,0.45,0.45,0.58,0.38,0.39,0.55
virtuoso.csv,0.72,0.72,0.49,0.0,0.88,0.44,0.93,0.55,0.49,0.91,0.55,0.85,0.95,0.79,0.64,0.48,0.95,0.45,0.71,0.78
xined.csv,0.93,0.98,0.67,0.0,0.8,0.89,0.86,0.93,0.91,0.83,0.72,0.96,0.96,0.91,0.81,0.9,0.98,0.88,0.92,0.45
zoolib.csv,0.67,0.94,0.0,0.67,0.96,0.8,0.67,0.75,0.0,0.0,0.88,0.95,0.96,0.88,0.0,0.89,0.5,0.0,0.9,0.5
