,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.83,0.61,0.65,0.5,0.48,0.89,0.67,0.59,0.77,0.77,0.03,0.61,0.74,0.56,0.78,0.91,0.77,0.81,0.72,0.79
alpine.csv,0.97,0.74,0.89,0.94,0.88,0.98,0.92,0.95,0.92,0.08,0.88,1.0,0.84,0.82,0.77,0.92,0.91,0.84,0.77,0.96
autowikibrowser.csv,0.68,0.63,0.75,0.65,0.5,0.63,0.59,0.63,0.62,0.5,0.56,0.53,0.75,0.92,0.52,0.75,0.65,0.84,0.0,0.83
critterding.csv,0.0,0.6,0.82,0.66,0.65,0.92,0.6,0.73,0.75,0.65,0.56,0.65,0.55,0.78,0.64,0.65,0.72,0.77,0.61,0.67
firebird.csv,0.62,0.03,0.65,0.7,0.63,0.43,0.48,0.54,0.59,0.67,0.41,0.62,0.63,0.58,0.53,0.65,0.72,0.64,0.44,0.68
fmri-dmt.csv,0.94,0.89,0.78,1.0,1.0,1.0,0.94,0.93,0.87,0.83,0.93,1.0,0.71,0.98,1.0,0.9,0.86,0.0,0.88,0.78
genecys.csv,0.98,0.59,0.99,0.84,0.92,0.0,0.59,1.0,1.0,0.96,0.98,1.0,0.77,0.98,0.98,0.95,0.73,0.89,0.78,0.93
hydrogen.csv,0.76,0.84,0.38,0.75,0.12,0.79,0.73,0.86,0.83,0.68,0.57,1.01,0.84,0.61,0.55,0.71,0.9,0.85,0.77,0.78
jcae.csv,0.97,0.99,0.0,1.0,1.0,0.85,0.96,0.9,0.87,1.0,0.53,1.0,0.97,1.0,0.97,0.9,0.98,0.84,0.86,0.78
kftpgrabber.csv,0.57,0.61,0.45,0.81,0.53,0.74,0.56,0.85,0.67,0.75,0.48,0.79,0.8,0.58,0.04,0.64,0.72,0.48,0.74,0.93
libarchive.csv,0.74,0.55,0.59,0.66,0.36,0.75,0.52,0.59,0.69,0.58,0.47,0.48,0.62,0.58,0.36,0.58,0.66,0.74,0.47,0.06
mimosa.csv,0.86,0.57,0.5,0.97,0.6,0.9,0.62,0.53,0.05,0.45,0.65,0.65,0.71,0.7,0.64,1.0,0.63,0.64,0.67,0.68
monetdb.csv,0.69,0.57,0.68,0.58,0.6,0.51,0.06,0.76,1.01,0.68,0.63,0.79,0.78,0.58,0.57,0.56,0.86,0.73,0.66,0.62
nosleepsoftware.csv,0.71,0.6,0.54,0.0,0.46,0.74,0.53,0.72,0.73,0.47,0.38,0.96,0.88,0.56,0.51,0.73,0.71,0.68,0.51,0.59
openmsx.csv,0.64,0.79,0.88,1.0,0.88,0.79,0.96,0.8,0.63,0.65,0.9,0.68,0.65,0.8,0.56,0.8,0.08,0.86,0.95,0.96
quarkplayer.csv,0.87,0.73,1.0,0.45,0.94,1.0,0.87,1.0,0.97,0.83,0.8,0.09,0.91,1.0,1.0,1.0,0.84,1.0,0.97,0.78
riff-evolve.csv,0.74,0.6,0.51,0.65,0.48,0.51,0.42,0.06,0.71,0.49,0.46,0.76,0.61,0.64,0.5,0.71,0.73,0.84,0.49,0.78
virtuoso.csv,0.66,0.68,1.01,0.94,0.63,0.59,0.77,0.87,0.71,0.84,0.56,0.87,0.87,0.07,0.49,0.53,0.92,0.83,0.65,0.68
xined.csv,0.73,0.8,0.72,1.0,0.57,0.88,0.87,0.79,0.82,0.75,0.53,0.92,0.97,0.93,0.64,0.0,0.79,0.84,0.9,0.62
zoolib.csv,0.91,0.91,1.0,1.0,0.91,0.84,0.98,0.96,1.0,1.0,0.98,1.01,0.23,0.98,1.0,0.71,1.0,1.0,0.84,0.96
