,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.01,0.04,0.32,0.0,0.24,0.34
flylinkdc.csv,0.22,0.54,0.46,0.31,0.53,0.76
ltp.csv,0.34,0.7,0.43,0.57,0.49,0.62
pfaedit.csv,0.23,0.39,0.03,0.23,0.21,0.2
powerfolder-.csv,0.29,0.2,0.39,0.09,0.75,0.45
qtwin.csv,0.03,0.32,0.0,0.0,0.03,0.09
