,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.69,0.25,0.04,0.54,0.61,0.81,0.52,0.52,0.26,0.86,0.46
aztec.csv,0.75,0.25,0.14,0.35,0.79,0.61,0.42,0.7,0.75,0.97,0.45
bl-toolkit.csv,0.9,0.08,0.04,0.36,0.49,0.51,0.43,0.43,0.23,0.89,0.45
clamav.csv,0.6,0.05,0.04,0.67,0.5,0.64,0.45,0.61,0.25,0.79,0.48
fm-classic.csv,0.75,0.0,0.33,0.0,0.0,0.9,0.78,0.0,1.0,0.81,0.4
kml.csv,0.8,0.11,0.05,0.42,0.77,0.62,0.51,0.57,0.36,0.85,0.46
lufa-lib.csv,0.77,0.19,0.03,0.42,0.53,0.61,0.62,0.65,0.22,0.91,0.45
mplayer-ce.csv,0.79,0.05,0.04,0.75,0.74,0.61,0.48,0.59,0.5,0.9,0.57
qmmp.csv,0.81,0.09,0.08,0.46,0.65,0.55,0.44,0.77,0.52,0.88,0.46
xapian.csv,0.7,0.07,0.05,0.41,0.59,0.64,0.44,0.57,0.51,0.77,0.48
xtreemfs.csv,0.84,0.15,0.1,0.42,0.66,0.55,0.48,0.7,0.5,0.95,0.45
