,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.88,0.61,0.45,0.39,0.97,0.93,0.77,0.45,0.47,0.56,0.59,0.93,0.38,0.56,0.4,0.58,0.49,0.94,0.76
fityk.csv,0.34,0.52,0.4,0.34,0.46,0.46,0.43,0.38,0.45,0.43,0.48,0.43,0.5,0.41,0.4,0.41,0.5,0.38,0.29
ivataopenportal.csv,0.37,0.46,0.38,0.3,0.44,0.53,0.37,0.29,0.37,0.39,0.4,0.41,0.4,0.36,0.34,0.37,0.39,0.4,0.28
lcfizvtop.csv,0.42,0.62,0.74,0.35,0.39,0.73,0.32,0.34,0.33,0.4,0.58,0.34,0.37,0.47,0.31,0.46,0.44,0.36,0.27
lite.csv,0.0,0.96,0.47,0.93,0.94,0.51,0.75,0.49,0.8,0.52,0.79,0.53,0.0,0.56,0.44,0.68,0.83,0.89,0.88
onotoa.csv,0.53,0.53,0.4,0.71,0.83,0.62,0.79,0.48,0.68,0.54,0.58,0.45,0.62,0.68,0.73,0.54,0.62,0.41,0.49
openwbem.csv,0.43,0.48,0.43,0.6,0.52,0.6,0.67,0.48,0.52,0.59,0.88,0.55,0.44,0.54,0.9,0.5,0.88,0.44,0.3
orc.csv,0.5,0.53,0.41,0.63,0.89,0.62,0.35,0.78,0.64,0.58,0.42,0.82,0.0,0.43,0.53,0.67,0.9,0.86,0.93
plato.csv,0.34,0.49,0.4,0.3,0.43,0.44,0.5,0.36,0.39,0.4,0.39,0.35,0.4,0.34,0.37,0.35,0.37,0.42,0.28
rodin-b-sharp.csv,0.82,0.92,0.65,0.95,0.94,0.96,0.52,0.78,0.91,0.66,0.89,0.51,0.0,0.88,0.0,0.67,0.58,0.72,0.94
ta3d.csv,0.5,0.99,0.9,0.93,0.51,0.93,0.64,0.78,0.91,0.98,0.0,0.0,0.0,0.9,0.86,0.75,0.86,0.43,0.49
tycho.csv,0.81,0.7,0.51,0.97,0.76,0.67,0.92,0.49,0.92,0.69,0.63,0.6,0.55,0.47,0.72,0.75,0.93,0.54,0.62
umber.csv,0.55,0.44,0.38,0.29,0.45,0.44,0.43,0.35,0.35,0.39,0.43,0.35,0.48,0.4,0.34,0.33,0.36,0.39,0.38
vienna-add-in.csv,0.53,0.64,0.6,0.37,0.58,0.58,0.59,0.46,0.68,0.66,0.86,0.55,0.54,0.41,0.45,0.44,0.66,0.47,0.75
wpdev.csv,0.34,0.49,0.39,0.29,0.42,0.43,0.42,0.36,0.39,0.38,0.39,0.39,0.4,0.33,0.37,0.35,0.39,0.42,0.28
xcmetadataservicestoolkit.csv,0.46,0.67,0.39,0.52,0.67,0.45,0.7,0.61,0.44,0.57,0.64,0.35,0.0,0.38,0.86,0.42,0.51,0.41,0.28
yarp0.csv,0.38,0.47,0.44,0.39,0.52,0.49,0.4,0.49,0.53,0.43,0.48,0.41,0.86,0.39,0.43,0.4,0.42,0.44,0.76
