,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.45,0.57,0.65,0.69,0.47,0.82,0.57,0.0,0.33,0.0,0.6
freedom-erp.csv,0.83,0.5,0.9,0.4,1.0,0.91,0.91,0.75,0.25,0.0,0.58
haggle.csv,0.44,0.44,0.89,0.74,0.61,0.79,0.18,0.25,0.4,0.0,0.66
jchassis.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.29,0.0
jmoney.csv,0.71,0.51,0.85,0.71,0.63,0.71,0.76,0.64,0.24,0.0,0.83
jsidplay2.csv,0.38,0.35,0.92,0.65,0.63,0.82,0.66,0.59,0.15,0.03,0.48
madman.csv,0.67,0.33,0.62,0.81,0.4,0.76,0.53,0.75,0.4,0.0,0.59
matrex.csv,0.61,0.62,0.92,1.0,0.71,1.0,0.85,0.73,0.28,0.0,1.0
mediate.csv,0.36,0.43,0.78,0.69,0.64,0.73,0.51,0.56,0.23,0.04,0.53
primefaces.csv,0.37,0.35,0.76,0.64,0.56,0.73,0.65,0.3,0.14,0.04,0.8
tmva.csv,0.35,0.38,0.75,0.64,0.57,0.88,0.49,0.58,0.22,0.0,0.61
