,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.53,0.65,0.36,0.15,0.38,0.2,0.63,0.0,0.65,0.0,0.55
freedom-erp.csv,0.78,0.23,0.49,0.04,0.04,0.07,0.58,0.75,0.15,0.0,0.48
haggle.csv,0.44,0.7,0.31,0.62,0.4,0.37,0.05,0.01,0.76,0.0,0.5
jchassis.csv,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.0,0.0,0.98,0.0
jmoney.csv,0.85,0.79,0.61,0.49,0.56,0.41,0.26,0.28,0.79,0.0,0.15
jsidplay2.csv,0.64,0.56,0.81,0.56,0.66,0.56,0.74,0.17,0.6,0.49,0.36
madman.csv,0.12,0.3,0.35,0.51,0.12,0.29,0.3,0.04,0.94,0.0,0.52
matrex.csv,0.71,0.42,0.46,0.1,0.63,0.12,0.83,0.46,0.64,0.0,0.06
mediate.csv,0.6,0.41,0.4,0.6,0.66,0.38,0.47,0.51,0.42,0.73,0.41
primefaces.csv,0.54,0.09,0.46,0.0,0.53,0.0,0.68,0.04,0.0,0.67,0.71
tmva.csv,0.4,0.61,0.0,0.46,0.0,0.77,0.0,0.0,0.76,0.0,0.51
