,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.5,0.63,0.54,0.12,0.56,0.17,0.68,0.0,0.62,0.0,0.62
freedom-erp.csv,0.75,0.19,0.44,0.03,0.03,0.06,0.53,0.79,0.12,0.0,0.48
haggle.csv,0.4,0.81,0.27,0.62,0.36,0.33,0.04,0.01,0.75,0.0,0.48
jchassis.csv,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,1.0,0.0
jmoney.csv,0.85,0.89,0.59,0.46,0.56,0.38,0.22,0.24,0.88,0.0,0.12
jsidplay2.csv,0.75,0.67,0.81,0.74,0.79,0.54,0.78,1.0,0.75,0.5,0.35
madman.csv,0.1,0.26,0.34,0.47,0.1,0.25,0.26,0.03,1.0,0.0,0.55
matrex.csv,0.7,0.37,0.41,0.08,0.62,0.1,0.82,0.42,0.62,0.0,0.05
mediate.csv,0.7,0.37,0.36,0.65,0.77,0.34,0.89,0.7,0.38,1.0,0.4
primefaces.csv,0.95,1.0,0.44,1.0,0.56,0.99,0.7,0.03,1.0,1.0,0.7
tmva.csv,0.95,0.74,1.0,0.81,1.0,0.8,1.0,1.0,0.88,0.0,0.88
