,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,1.0,0.54,0.53,0.34,0.18,0.29,0.0,0.19,0.75,0.29,0.3
gbif-providertoolkit.csv,0.53,0.05,0.32,0.31,0.36,0.13,0.7,0.35,0.74,0.2,0.22
geochat.csv,0.42,0.0,0.5,0.28,0.13,0.19,0.66,0.09,0.75,0.34,0.38
heekscad.csv,0.8,0.26,0.7,0.4,0.2,0.2,0.81,0.47,0.85,0.34,0.26
igarden.csv,0.86,0.17,0.88,0.42,0.13,0.2,0.8,0.45,0.94,0.33,0.1
jstock.csv,0.81,0.12,0.61,0.4,0.35,0.24,0.93,0.55,0.96,0.33,0.26
levent.csv,0.76,0.0,0.0,0.0,0.22,0.2,0.81,0.42,0.0,0.0,0.0
piccolo2d.csv,0.85,0.0,0.88,0.67,0.29,0.33,0.86,0.36,0.91,0.4,0.36
pnotepad.csv,0.83,0.22,0.49,0.31,0.16,0.17,0.72,0.31,0.98,0.33,0.25
trinitycore.csv,0.84,0.19,0.6,0.34,0.14,0.19,0.5,0.24,0.89,0.33,0.32
xcsoar.csv,0.83,0.25,0.7,0.33,0.31,0.18,0.74,0.54,1.0,0.37,0.32
