,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.9,0.17,0.83,0.68,0.76,0.85,1.0,0.83,0.94,0.9,0.73
gbif-providertoolkit.csv,0.96,1.02,0.89,0.69,0.39,0.77,0.83,0.52,1.02,0.88,0.75
geochat.csv,0.92,1.0,0.98,0.8,0.88,0.56,0.9,0.98,0.94,0.7,0.54
heekscad.csv,0.4,0.46,0.46,0.55,0.65,0.55,0.61,0.5,0.72,0.57,0.67
igarden.csv,0.52,0.63,0.73,0.53,0.88,0.54,0.84,0.63,0.67,0.59,0.97
jstock.csv,0.43,0.74,0.46,0.54,0.44,0.46,0.72,0.26,0.55,0.57,0.73
levent.csv,0.56,1.01,1.0,1.0,0.66,0.59,0.45,0.64,1.0,1.0,1.0
piccolo2d.csv,0.86,1.0,0.63,0.94,0.49,0.31,0.54,0.65,0.8,0.6,0.84
pnotepad.csv,0.43,0.5,0.73,0.94,0.92,0.78,0.65,0.63,0.14,0.57,0.72
trinitycore.csv,0.54,0.57,0.59,0.64,0.81,0.57,0.95,0.69,0.68,0.58,0.81
xcsoar.csv,0.41,0.76,0.37,0.65,0.44,0.62,0.75,0.48,0.73,0.59,0.7
