,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.0,0.12,0.13,0.35,0.27,0.06,0.0,0.3,0.1,0.09,0.21
gbif-providertoolkit.csv,0.87,0.69,0.63,0.49,0.27,0.67,0.83,0.35,0.9,0.79,0.61
geochat.csv,0.45,0.04,0.01,0.29,0.19,0.46,0.87,0.49,0.1,0.21,0.27
heekscad.csv,0.3,0.27,0.2,0.42,0.58,0.52,0.22,0.19,0.7,0.36,0.44
igarden.csv,0.13,0.38,0.03,0.36,0.19,0.49,0.09,0.14,0.1,0.36,0.09
jstock.csv,0.26,0.4,0.35,0.46,0.25,0.45,0.04,0.21,0.1,0.4,0.29
levent.csv,0.26,0.12,0.0,0.0,0.64,0.59,0.35,0.16,0.0,0.0,0.0
piccolo2d.csv,0.04,0.0,0.04,0.01,0.33,0.27,0.17,0.21,0.1,0.21,0.09
pnotepad.csv,0.21,0.48,0.72,0.94,0.91,0.78,0.57,0.63,0.1,0.39,0.67
trinitycore.csv,0.15,0.42,0.24,0.53,0.37,0.48,0.13,0.51,0.2,0.38,0.13
xcsoar.csv,0.21,0.12,0.24,0.53,0.33,0.6,0.22,0.14,0.0,0.27,0.21
