,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,6.0,9.0,106.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,111.0,1.0
bdbbasic.csv,8.0,16.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,0.0
crux-framework.csv,105.0,0.0,411.0,70.0,82.0,116.0,99.0,135.0,67.0,136.0,95.0,153.0,152.0,342.0,0.0,57.0
echongl.csv,0.0,6.0,1.0,2.0,10.0,5.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,4.0,40.0,1.0
etherboot.csv,0.0,8.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,15.0,0.0,0.0,4.0,14.0,3.0
freebios.csv,0.0,11.0,59.0,2.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,40.0,4.0
gebr.csv,8.0,42.0,63.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,55.0,1.0
glelite.csv,0.0,45.0,1.0,2.0,0.0,5.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,3.0,68.0,1.0
gnukeda.csv,4.0,20.0,8.0,0.0,6.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,56.0,1.0
google-gears.csv,0.0,17.0,6.0,1.0,0.0,4.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0
gstreamer.csv,0.0,28.0,411.0,0.0,1.0,4.0,0.0,3.0,6.0,1.0,23.0,0.0,0.0,1.0,55.0,0.0
jnode.csv,7.0,40.0,0.0,0.0,0.0,116.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,111.0,1.0
metacosm.csv,6.0,3.0,22.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,29.0,0.0
openmeetings.csv,4.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,1.0,21.0,4.0
tradelink.csv,0.0,11.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,61.0,2.0
wxcrp.csv,0.0,42.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,48.0,1.0
