,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.28,0.11,0.4,0.65,0.19,0.12,0.0,0.06,0.15,0.05
flylegacy.csv,0.64,0.59,0.69,0.46,0.38,0.56,0.35,0.56,0.56,0.47
jguard.csv,0.5,0.35,0.46,0.52,0.54,0.59,0.49,0.68,0.27,0.51
m-a-d-n-e-s-s.csv,0.24,0.0,0.32,0.28,0.02,0.0,0.0,0.12,0.7,0.15
mob-sen-plat.csv,0.58,0.73,0.49,0.4,0.63,0.54,0.57,0.57,0.72,0.58
raygina.csv,0.78,0.0,0.51,0.44,0.27,0.34,0.33,0.32,0.32,0.52
st-filteredstatistics.csv,0.41,0.35,0.32,0.55,0.63,0.54,0.35,0.81,0.63,0.63
upp-mirror.csv,0.42,0.07,0.61,0.66,0.69,0.5,0.24,0.35,0.59,0.36
wishmaster.csv,0.28,0.14,0.48,0.46,0.64,0.48,0.67,0.12,0.56,0.35
yarp.csv,0.24,0.0,0.39,0.2,0.02,0.3,0.47,0.12,0.33,0.65
