,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,m-a-d-n-e-s-s.csv,yarp.csv,ftm.csv
bloodycore.csv,0.0,0.39,0.41,0.96,0.11,0.0,0.15,0.0,0.59
flylegacy.csv,0.54,0.65,0.99,0.33,0.74,0.44,0.53,0.48,0.61
ftm.csv,0.3,0.3,0.63,0.28,0.45,0.41,0.51,0.47,0.96
jguard.csv,0.48,0.66,0.73,0.27,0.6,0.97,0.44,0.42,0.57
m-a-d-n-e-s-s.csv,0.21,0.15,0.6,0.28,0.19,0.11,0.94,0.14,0.45
mob-sen-plat.csv,0.41,1.0,0.61,0.09,0.3,0.38,0.43,0.42,0.41
raygina.csv,0.96,0.14,0.67,0.3,0.5,0.11,0.4,0.47,0.5
upp-mirror.csv,0.41,0.26,0.58,0.31,1.0,0.34,0.43,0.19,0.52
yarp.csv,0.42,0.5,0.7,0.25,0.36,0.33,0.53,1.0,0.33
