,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.36,0.63,0.69,0.81
freelords.csv,0.6,0.85,0.54,0.54
jfreereport.csv,0.93,0.61,0.73,0.68
super-tux.csv,0.91,0.61,0.73,0.1
