,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.44,0.96,0.27,0.17,0.12,0.05,0.12,0.37,0.52,0.41
bibedt.csv,0.62,0.17,0.36,0.29,0.0,0.41,0.95,0.55,0.29,0.47
cascading.csv,0.35,0.34,0.49,0.55,0.3,0.28,0.35,0.52,1.0,0.41
firebreath.csv,0.6,0.67,0.97,0.55,0.16,0.23,0.29,0.67,0.64,0.58
fritzing.csv,0.97,0.68,0.57,0.3,0.14,0.26,0.28,0.6,0.46,0.82
httpcontentparser.csv,0.44,0.64,0.17,0.06,0.17,0.92,0.18,0.1,0.0,0.34
mpgravity.csv,0.45,0.57,0.28,0.55,1.0,0.23,0.22,0.41,0.41,0.37
patterntesting.csv,0.28,0.58,0.33,0.97,0.35,0.25,0.0,0.57,0.47,0.74
roller.csv,0.12,0.2,0.5,0.65,0.29,0.31,0.3,0.99,0.56,0.73
xfce.csv,0.6,0.59,0.51,0.51,0.32,0.24,0.22,0.7,0.72,0.96
