,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.44,0.97,0.32,0.2,0.1,0.12,0.23,0.32,0.4,0.34
bibedt.csv,0.6,0.13,0.29,0.2,0.0,0.64,0.92,0.44,0.2,0.39
cascading.csv,0.3,0.28,0.56,0.63,0.45,0.68,0.63,0.44,1.0,0.31
firebreath.csv,0.42,0.45,0.96,0.64,0.28,0.64,0.53,0.58,0.49,0.49
fritzing.csv,0.95,0.17,0.52,0.27,0.1,0.49,0.43,0.53,0.36,0.57
httpcontentparser.csv,0.4,0.62,0.12,0.04,0.28,0.88,0.33,0.06,0.0,0.27
mpgravity.csv,0.37,0.55,0.24,0.45,1.0,0.39,0.24,0.33,0.3,0.29
patterntesting.csv,0.22,0.57,0.27,0.97,0.38,0.4,0.0,0.49,0.38,0.67
roller.csv,0.09,0.16,0.54,0.7,0.37,0.72,0.34,0.99,0.46,0.66
xfce.csv,0.59,0.53,0.55,0.5,0.09,0.67,0.41,0.56,0.57,0.95
