,twostep.csv,fluent-nhibernate.csv,jmule.csv,jython.csv,go.csv,oppna-program-hsatools.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
fluent-nhibernate.csv,0.67,0.35,0.65,0.64,0.74,0.83,0.56,0.46,0.38
go.csv,0.47,0.21,0.55,0.56,0.87,0.87,0.57,0.38,0.28
jmule.csv,0.75,0.19,0.84,0.12,0.8,0.9,0.38,0.44,0.33
jython.csv,0.4,0.09,0.0,0.49,0.76,1.0,0.31,0.37,0.29
magicwars.csv,0.36,0.1,0.49,0.13,0.64,0.87,0.78,0.36,0.27
oppna-program-hsatools.csv,0.36,0.09,0.45,0.1,0.75,0.97,0.64,0.39,0.59
turbotrader-bos.csv,0.5,0.22,0.0,0.47,0.92,1.0,0.68,0.58,0.38
twostep.csv,0.74,0.15,0.65,0.13,0.87,0.85,0.37,0.41,0.39
xmemcached.csv,0.35,0.11,0.46,0.11,0.64,0.86,0.33,0.33,0.56
