,twostep.csv,fluent-nhibernate.csv,jmule.csv,jython.csv,go.csv,oppna-program-hsatools.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
fluent-nhibernate.csv,0.23,0.94,0.46,0.64,0.54,0.27,0.46,0.38,0.61
go.csv,0.69,0.82,0.88,0.91,0.68,0.69,0.57,0.89,0.83
jmule.csv,0.69,0.88,0.88,0.82,0.72,0.66,0.72,0.89,0.78
jython.csv,0.38,0.59,0.0,0.91,0.16,0.2,0.54,0.51,0.35
magicwars.csv,0.96,1.0,1.0,1.0,1.0,0.93,0.63,0.89,0.78
oppna-program-hsatools.csv,0.96,1.0,0.96,0.68,0.67,0.86,0.23,0.84,0.43
turbotrader-bos.csv,0.65,0.76,0.0,0.77,0.43,0.13,0.31,0.69,0.7
twostep.csv,0.88,0.88,0.71,0.91,0.58,0.76,0.66,0.87,0.78
xmemcached.csv,0.92,0.94,1.0,0.82,1.0,0.96,0.74,0.96,0.78
